dialect,standard,region,sentiment,source,source_split
"Bé cún này ngoan thế, cho bế tí mà nằm yên thít luôn.","Bé cún này ngoan thế, cho bế một chút mà nằm rất yên luôn.",northern,positive,synthetic,
"Cu Tí dạo này lớn nhanh như thổi, nhìn ghét thế không biết!","Bé Tí dạo này lớn rất nhanh, nhìn đáng yêu quá chừng!",northern,positive,synthetic,
"Chúc mừng sếp nhá, dự án này thành công rực rỡ bảo sao chả phất!","Chúc mừng sếp nhé, dự án này thành công rực rỡ bảo sao không phát triển!",northern,positive,synthetic,
"Thời tiết Thu Hà Nội thích dã man, đi dạo hồ Tây là hết nấc.","Thời tiết mùa thu Hà Nội rất thích, đi dạo hồ Tây là tuyệt vời nhất.",northern,positive,synthetic,
"Bức ảnh này bắt trọn khoảnh khắc dã man, góc chụp ra gì đấy!","Bức ảnh này ghi lại trọn khoảnh khắc tuyệt vời, góc chụp rất đẹp đấy!",northern,positive,synthetic,
"Mẹo này hay vãi, áp dụng cái được luôn nè mọi người.","Mẹo này rất hay, áp dụng một cái là được ngay này mọi người.",northern,positive,synthetic,
"Bài hát này nghe cuốn phết, bắt tai từ lần đầu luôn á.","Bài hát này nghe rất cuốn hút, dễ nhớ ngay từ lần đầu tiên luôn.",northern,positive,synthetic,
"Tập tành chăm chỉ có khác, cơ bụng hiện rõ mùng mốt rồi kìa!","Tập luyện chăm chỉ có khác, cơ bụng hiện rõ ràng rồi kìa!",northern,positive,synthetic,
"Chè bơ ở đây ngọt thanh vừa miệng, không bị khé cổ tẹo nào.","Chè bơ ở đây ngọt nhẹ vừa ăn, không bị gắt cổ chút nào.",northern,positive,synthetic,
"Xe mới tậu nhìn xịn xò phết, hôm nao cho tớ quá giang với nhá.","Xe mới mua nhìn rất sang đẹp, hôm nào cho tớ đi nhờ với nhé.",northern,positive,synthetic,
"Cây sen đá này mát tay trồng tốt ghê, nở hoa xinh xắn quá nhờ.","Cây sen đá này mát tay trồng phát triển tốt ghê, nở hoa đẹp đẽ quá nhỉ.",northern,positive,synthetic,
"Cuốn sách này đọc ngẫm thấm phết, nhiều đoạn đúng tâm trạng ghê.","Cuốn sách này đọc suy ngẫm rất sâu sắc, nhiều đoạn đúng tâm trạng thật.",northern,positive,synthetic,
"Săn được mã giảm giá hời dã man, thích mê đi được!","Săn được mã giảm giá rất rẻ, thích tuyệt vời luôn!",northern,positive,synthetic,
"Tiệc sinh nhật hôm qua vui nổ trời, ăn uống no nê đã đời luôn.","Tiệc sinh nhật hôm qua rất vui vẻ, ăn uống no đủ thỏa thích luôn.",northern,positive,synthetic,
"Uầy, cái món bún đậu này nhìn ưng bụng thế nhờ!","Ôi, cái món bún đậu này nhìn ưng bụng thế nhỉ!",northern,positive,synthetic,
Tiết trời Hà Nội thu này đi dạo phố thì hết nấc luôn giời ạ.,Thời tiết Hà Nội mùa thu này đi dạo phố thì tuyệt vời luôn trời ạ.,northern,positive,synthetic,
Cái áo này dầy dặn mà mặc lên phom chuẩn đét luôn.,Cái áo này dày dặn mà mặc lên phom chuẩn xác luôn.,northern,positive,synthetic,
Con mèo nhà ông nhìn ngố ngố mà cưng xỉu nhể!,Con mèo nhà bạn nhìn ngố ngố mà dễ thương quá nhỉ!,northern,positive,synthetic,
Để hôm nao rảnh anh em mình làm chấu bia hơi trò chuyện chán chê đi.,Để hôm nào rảnh anh em mình làm cốc bia hơi trò chuyện thỏa thích đi.,northern,positive,synthetic,
Mẹ nấu bữa tối nhìn đề huề toàn món ngon thế chứ lị.,Mẹ nấu bữa tối nhìn đề huề toàn món ngon thế chứ lại.,northern,positive,synthetic,
"Tấm ảnh này góc chụp ăn điểm thật đấy, nhìn xinh ngất ngơ!","Bức ảnh này góc chụp ăn điểm thật đấy, nhìn xinh ngất ngây!",northern,positive,synthetic,
"Chúc mừng bác nhé, làm ăn khấm khá thế này chả mấy mà giàu.","Chúc mừng bạn nhé, làm ăn khấm khá thế này chẳng mấy mà giàu.",northern,positive,synthetic,
"Quán cà phê này không gian chill phết, cuối tuần ghé qua thẩm mới được.","Quán cà phê này không gian thoải mái phết, cuối tuần ghé qua trải nghiệm mới được.",northern,positive,synthetic,
"Em bé kháu khỉnh quá, nhìn chỉ muốn mánh cho phát thôi.","Em bé kháu khỉnh quá, nhìn chỉ muốn véo má cho một cái thôi.",northern,positive,synthetic,
"Bài hát nghe cuốn vãi, giai điệu bắt tai nhở?","Bài hát nghe cuốn quá, giai điệu bắt tai nhỉ?",northern,positive,synthetic,
"Mới tậu được quả máy ảnh xịn đét, chụp nét căng luôn mày ạ.","Mới mua được chiếc máy ảnh rất xịn, chụp nét căng luôn bạn ạ.",northern,positive,synthetic,
Chậu hoa mười giờ nhà bà nở rực rỡ cả góc sân kìa.,Chậu hoa mười giờ nhà bạn nở rực rỡ cả góc sân kìa.,northern,positive,synthetic,
"Khóa học này cuốn thật sự, học xong thấy sáng mắt ra nhiều thứ.","Khóa học này hay thật sự, học xong thấy hiểu ra nhiều thứ.",northern,positive,synthetic,
"Hai đứa dạo này tình thương mến thương ghê, nhìn mà phát thèm.","Hai bạn dạo này tình cảm thắm thiết ghê, nhìn mà phát thèm.",northern,positive,synthetic,
"Quà sinh nhật ưng hết nấc, cảm ơn anh xã nhà em nhá!","Món quà sinh nhật ưng vô cùng, cảm ơn chồng yêu nhà em nhé!",northern,positive,synthetic,
"Căn phòng decor tông màu ấm cúng nhể, nhìn chỉ muốn chui vào ngủ.","Căn phòng trang trí tông màu ấm cúng nhỉ, nhìn chỉ muốn chui vào ngủ.",northern,positive,synthetic,
"Chị nhà dạo này dáng nuột nà phết, chạy bộ có khác.","Chị dạo này dáng đẹp gọn gàng phết, chạy bộ có khác.",northern,positive,synthetic,
"Hội khóa năm nay đông vui quá chừng, gặp lại bạn cũ mừng rơi nước mắt.","Hội khóa năm nay đông vui quá chừng, gặp lại bạn cũ mừng rơi nước mắt.",northern,positive,synthetic,
"Phim chiếu rạp hôm nay hay mê ly, đáng đồng tiền bát gạo thật đấy.","Phim chiếu rạp hôm nay hay mê ly, rất đáng đồng tiền bát gạo.",northern,positive,synthetic,
"Quán này đồ ăn ngon xẻo nhờ, cuối tuần phải qua thẩm lại mới được.","Quán này đồ ăn ngon thế nhỉ, cuối tuần phải qua thưởng thức lại mới được.",northern,positive,synthetic,
"Nhìn cảnh bình yên quá chừng, ước gì nao được về đây dưỡng già nhể!","Nhìn cảnh bình yên quá chừng, ước gì hôm nào được về đây dưỡng già nhỉ!",northern,positive,synthetic,
"Hai vợ chồng nhà này tình cảm gớm, gato với hai người thật đấy.","Hai vợ chồng nhà này tình cảm thế, ghen tị với hai người thật đấy.",northern,positive,synthetic,
"Chiếc áo này mặc lên xinh xẻo phết, chim ưng quá cơ!","Chiếc áo này mặc lên đẹp thế, rất ưng ý luôn!",northern,positive,synthetic,
"Thời tiết Hà Nội hôm nay mát rượi, đi dạo hồ Tây là chuẩn bài rồi.","Thời tiết Hà Nội hôm nay rất mát mẻ, đi dạo hồ Tây là chuẩn luôn rồi.",northern,positive,synthetic,
"Nhìn mâm cơm bà bô nấu mà thèm nhỏ dãi, ước gì đang ở nhà.","Nhìn mâm cơm mẹ nấu mà thèm nhỏ dãi, ước gì đang ở nhà.",northern,positive,synthetic,
"Chúc mừng sinh nhật thằng bạn thân nhá, tuổi mới kiếm nhiều tiền rồi khao tao tợp bia!","Chúc mừng sinh nhật bạn thân nhé, tuổi mới kiếm nhiều tiền rồi khao mình uống bia!",northern,positive,synthetic,
"Bé nhà ai mà khéo tay quá chừng, làm được cái bánh xinh hết nấc.","Em bé nhà ai mà khéo tay thế, làm được cái bánh đẹp hết mức.",northern,positive,synthetic,
"Mới sắm được quả tai nghe xịn đét, nghe nhạc lofi chill phết nhờ.","Mới mua được cái tai nghe rất xịn, nghe nhạc lofi thư giãn lắm nhỉ.",northern,positive,synthetic,
"Chuyến đi Tam Đảo vừa rồi vui hết nấc, chụp được bao nhiêu ảnh đẹp mê.","Chuyến đi Tam Đảo vừa rồi rất vui, chụp được rất nhiều ảnh đẹp mê hồn.",northern,positive,synthetic,
"Bảo sao dạo này thấy nét thế, hóa ra là mới đổi kiểu tóc mới à?","Bảo sao dạo này thấy đẹp thế, hóa ra là mới đổi kiểu tóc mới à?",northern,positive,synthetic,
"Góc này lên hình trông thơ mộng cực, tha hồ mà sống ảo nhé.","Góc này lên hình trông rất thơ mộng, tha hồ mà chụp ảnh sống ảo nhé.",northern,positive,synthetic,
"Mấy đứa nhỏ chơi với nhau cưng xỉu, trông hồn nhiên dễ sợ luôn ấy.","Mấy đứa trẻ chơi với nhau đáng yêu quá, trông hồn nhiên vô cùng luôn ấy.",northern,positive,synthetic,
"Cà phê ở đây đậm vị phết, nhấp một ngụm là tỉnh cả người.","Cà phê ở đây đậm vị thế, uống một ngụm là tỉnh cả người.",northern,positive,synthetic,
"Ôi dào, hoa nở rực rỡ cả góc sân rồi kìa, nhìn thích mắt thế không biết!","Ôi, hoa nở rực rỡ cả góc sân rồi kìa, nhìn thích mắt làm sao!",northern,positive,synthetic,
"Mẹ nó khéo chăm con quá nhể, trông bé bụ bẫm đáng yêu ghê.","Chị khéo chăm con quá nhỉ, trông bé bụ bẫm đáng yêu ghê.",northern,positive,synthetic,
Cuối tuần được nằm ưỡn ra đọc sách thế này thì còn gì bằng nữa.,Cuối tuần được nằm thong thả đọc sách thế này thì còn gì bằng nữa.,northern,positive,synthetic,
"Hai đứa này dạo này dính nhau như sam ấy nhờ, bao giờ thì cho dân tình ăn cỗ đây?","Hai bạn dạo này thân thiết với nhau quá nhỉ, bao giờ thì cho mọi người đi ăn cưới đây?",northern,positive,synthetic,
"Mẫu váy này nhìn nhã nhặn ghê, hợp mặc đi làm lắm luôn đó.","Mẫu váy này nhìn nhã nhặn thế, rất hợp mặc đi làm luôn đó.",northern,positive,synthetic,
"Thèm quả chè thái mát lạnh này quá, chiều nay phải rủ hội cạ cứng đi đá chén mới được!","Thèm món chè thái mát lạnh này quá, chiều nay phải rủ hội bạn thân đi ăn mới được!",northern,positive,synthetic,
Quán này nấu chuẩn vị phố cổ phết nhờ!,Quán này nấu chuẩn vị phố cổ phết nhỉ!,northern,positive,synthetic,
Nao rảnh tụi mình lại lượn Hồ Tây hóng gió tiếp nhá.,Hôm nào rảnh tụi mình lại đi Hồ Tây hóng gió tiếp nhé.,northern,positive,synthetic,
Chiếc áo này mặc lên dáng trông xinh xịn đét luôn.,Chiếc áo này mặc lên dáng trông xinh tuyệt vời luôn.,northern,positive,synthetic,
Bố cháu chiều mẹ cháu nhất quả đất rồi còn gì!,Anh ấy chiều chị ấy nhất quả đất rồi còn gì!,northern,positive,synthetic,
"Trời thu Hà Nội dễ chịu thật đấy, thèm đi dạo quá cơ.","Thời tiết mùa thu Hà Nội dễ chịu thật đấy, thèm đi dạo quá đi.",northern,positive,synthetic,
"Chúc mừng bác nhé, làm ăn khấm khá thế này là ấm rồi!","Chúc mừng anh nhé, làm ăn khấm khá thế này là ổn rồi!",northern,positive,synthetic,
Cu cậu nhà ai mà trông trộm vía lanh lợi thế không biết.,Cậu bé nhà ai mà trông trộm vía nhanh nhẹn thế không biết.,northern,positive,synthetic,
"Món này u tôi làm là số một, ăn tốn cơm lắm nhể.","Món này mẹ tôi làm là số một, ăn tốn cơm lắm nhỉ.",northern,positive,synthetic,
"Góc cà phê này chill phết, cuối tuần ghé làm tách trà nhá.","Góc cà phê này thích phết, cuối tuần ghé uống tách trà nhé.",northern,positive,synthetic,
"Tóc mới xinh xắn thế nhờ, hợp mặt cực kỳ luôn á.","Tóc mới xinh xắn thế nhỉ, hợp khuôn mặt cực kỳ luôn đó.",northern,positive,synthetic,
"Xem show này vui hết nấc, cười đau cả ruột đấy bác ạ.","Xem chương trình này vui hết mức, cười đau cả bụng đấy anh ạ.",northern,positive,synthetic,
Mấy tấm ảnh cũ này coi lại trông nhố nhăng mà vui phết.,Mấy tấm ảnh cũ này xem lại trông buồn cười mà vui phết.,northern,positive,synthetic,
"Quà sinh nhật ưng bụng quá, cảm ơn ông bạn thân nhế!","Quà sinh nhật hài lòng quá, cảm ơn người bạn thân nhé!",northern,positive,synthetic,
"Con xe này chạy êm ru, đi phượt mùa này thì hết bài.","Chiếc xe này chạy rất êm, đi phượt mùa này thì tuyệt vời.",northern,positive,synthetic,
Mấy chậu hoa ban công nhà bác nở rộ nhìn thích mắt ghê.,Mấy chậu hoa ban công nhà anh nở rộ nhìn đẹp mắt ghê.,northern,positive,synthetic,
"Chị em dạo này chăm tập tành thế, bảo sao dáng ngon đét.","Chị em dạo này chăm tập luyện thế, bảo sao vóc dáng đẹp thế.",northern,positive,synthetic,
"Quyển sách này đọc cuốn thật, mở ra cái là mê luôn.","Cuốn sách này đọc hấp dẫn thật, mở ra là thích ngay.",northern,positive,synthetic,
Lâu lắm mới lại được bữa nhậu xôm xả thế này nhở!,Lâu lắm mới lại được bữa ăn uống đông vui thế này nhỉ!,northern,positive,synthetic,
Bày trí căn phòng thế này trông ấm cúng hẳn ra đấy.,Trang trí căn phòng thế này trông ấm cúng hẳn ra đấy.,northern,positive,synthetic,
"Mẹo này hay phết nhờ, để nao mình áp dụng thử xem sao.","Bí quyết này hay phết nhỉ, để hôm nào mình áp dụng thử xem sao.",northern,positive,synthetic,
Món này ăn kèm rau sống là chuẩn bài luôn đấy nhở!,Món này ăn kèm rau sống là chuẩn bài luôn đấy nhỉ!,northern,positive,synthetic,
Chiếc áo này mặc mùa đông vừa ấm lại vừa xinh xắn quá cơ.,Chiếc áo này mặc mùa đông vừa ấm lại vừa xinh xắn quá chừng.,northern,positive,synthetic,
Nao rảnh tớ qua nhà cậu chơi nhá!,Hôm nào rảnh tớ qua nhà cậu chơi nhé!,northern,positive,synthetic,
"Mấy đứa nhỏ dạo này lớn nhanh như thổi, ngoan ngoãn thế giời ạ.","Mấy đứa nhỏ dạo này lớn nhanh như thổi, ngoan ngoãn thế trời ạ.",northern,positive,synthetic,
"Quán cà phê chill phết, cuối tuần phải rủ hội bạn ghé thẩm thôi.","Quán cà phê chill phết, cuối tuần phải rủ hội bạn ghé thử thôi.",northern,positive,synthetic,
"Hai vợ chồng nhà này nhí nhố chòng ghẹo nhau suốt, nhìn cưng hết nấc.","Hai vợ chồng nhà này nhí nhố trêu ghẹo nhau suốt, nhìn cưng hết nấc.",northern,positive,synthetic,
"Công nhận cái bánh này ngon tuyệt cú mèo, béo ngậy mà không bị ngấy.","Công nhận cái bánh này ngon tuyệt cú mèo, béo ngậy mà không bị ngấy.",northern,positive,synthetic,
"Ảnh chụp chuyến đi Sa Pa đỉnh thế nhể, nhìn muốn xách ba lô đi luôn.","Ảnh chụp chuyến đi Sa Pa đỉnh thế nhỉ, nhìn muốn xách ba lô đi luôn.",northern,positive,synthetic,
"Nhìn mâm cơm bu nấu mà ứa cả nước miếng, thèm quá đi mất.","Nhìn mâm cơm mẹ nấu mà ứa cả nước miếng, thèm quá đi mất.",northern,positive,synthetic,
"Chúc mừng sinh nhật đàng ấy, chúc tuổi mới ngày càng xinh đẹp zới thành công nha!","Chúc mừng sinh nhật đằng ấy, chúc tuổi mới ngày càng xinh đẹp với thành công nha!",northern,positive,synthetic,
"Mẫu váy này vải dầy dặn, phom dáng xịn đéc luôn ấy chứ.","Mẫu váy này vải dày dặn, phom dáng rất đẹp luôn ấy chứ.",northern,positive,synthetic,
"Thời tiết Hà Nội hôm nay mát mẻ thích thật đấy, đi lượn hồ Tây thôi!","Thời tiết Hà Nội hôm nay mát mẻ thích thật đấy, đi dạo hồ Tây thôi!",northern,positive,synthetic,
"Cảm ơn quà của cậu nha, xinh xắn mê tắp lự luôn á.","Cảm ơn quà của cậu nha, xinh xắn mê liền luôn á.",northern,positive,synthetic,
"Hai bác vẫn tình cảm như hồi mới yêu, ngưỡng mộ quá đi thôi!","Hai bác vẫn tình cảm như hồi mới yêu, ngưỡng mộ quá đi thôi!",northern,positive,synthetic,
"Thấy bảo phim này hay lắm, hôm nào rủ cả nhóm đi xem mới được nhẻ.","Nghe nói phim này hay lắm, hôm nào rủ cả nhóm đi xem mới được nhỉ.",northern,positive,synthetic,
"Bé nhà bạn ngoan quá, nhìn mặt mũi sáng sủa thông minh chưa kìa.","Bé nhà bạn ngoan quá, nhìn mặt mũi sáng sủa thông minh chưa kìa.",northern,positive,synthetic,
"Chuẩn bị nghỉ lễ rồi, đi chơi một chuyến xả hơi cho đã đời không nhở?","Chuẩn bị nghỉ lễ rồi, đi chơi một chuyến xả hơi cho đã đời không nhỉ?",northern,positive,synthetic,
"Không gian xanh mướt thích thế, tha hồ mà sống ảo nhá.","Không gian xanh mướt thích thế, tha hồ mà sống ảo nhé.",northern,positive,synthetic,
"Đợt này bạn làm ăn lên tay quá, khen thật lòng đấy nhá!","Đợt này bạn làm ăn tốt quá, khen thật lòng đấy nhé!",northern,positive,synthetic,
"Giờ có tiền rồi, hôm nào bao tớ ăn chè nhè nhé!","Giờ có tiền rồi, hôm nào bao tớ ăn thỏa thích nhé!",northern,positive,synthetic,
"món này ngon phết, hôm nao tiện đường qua đá xế tí nhở?","món này khá ngon, hôm nào tiện đường qua ăn vặt một chút nhé?",northern,positive,synthetic,
"ảnh chụp ảo vãi chưởng, trông xịn đét luôn ông ơi.","ảnh chụp đẹp tuyệt vời, trông rất chất lượng luôn bạn ơi.",northern,positive,synthetic,
"quán này chill cực, hôm nao rảnh tớ lại dẫn cậu ghé nhá.","quán này rất thư thái, hôm nào rảnh tớ lại dẫn bạn ghé nhé.",northern,positive,synthetic,
"cả nhà đi chơi vui thế, nhìn ấm áp ra phết!","cả nhà đi chơi vui thế, nhìn rất ấm áp!",northern,positive,synthetic,
áo mới diện đẹp dầy dặn thế này tha hồ đón gió mùa nhá.,áo mới mặc đẹp dày dặn thế này thoải mái đón gió mùa nhé.,northern,positive,synthetic,
hai đứa nhóc nhà bà ngoan quắn lên được ấy.,hai đứa con nhà bạn ngoan vô cùng luôn đấy.,northern,positive,synthetic,
nao rủ cả hội lên Tam Đảo xả hơi chuyến nhể?,hôm nào rủ cả nhóm lên Tam Đảo thư giãn một chuyến nhỉ?,northern,positive,synthetic,
"đợt này làm ăn khởi sắc hẳn, chúc mừng vợ chồng chú em nhá!","dạo này làm ăn tốt lên hẳn, chúc mừng hai vợ chồng em nhé!",northern,positive,synthetic,
mới ngó qua đã thấy ưng cái bụng rồi đấy cơ.,mới xem qua đã thấy rất vừa ý rồi đấy.,northern,positive,synthetic,
"Hà Nội mùa này không khí thích dã man, đi dạo thảnh thơi hẳn.","Hà Nội mùa này không khí rất dễ chịu, đi dạo thư thái hẳn.",northern,positive,synthetic,
"mẹ nó đợt này trẻ ra cả chục tuổi, nhìn thích thế!","vợ đợt này trẻ ra cả chục tuổi, nhìn thích quá!",northern,positive,synthetic,
"chỗ này chill phết, chiều ra ngồi cắn hướng dương hết nấc.","chỗ này rất tuyệt, chiều ra ngồi ăn hạt hướng dương vô cùng thích.",northern,positive,synthetic,
"thằng cu dạo này nhanh xẩu, biết chòng ghẹo cả bố rồi.","bé trai dạo này nhanh lẹ, biết trêu ghẹo cả bố rồi.",northern,positive,synthetic,
"bánh mì pate giòn tan, ăn một chiếc chưa bèn gì nhẻ?","bánh mì pate giòn tan, ăn một chiếc chưa thấm vào đâu nhỉ?",northern,positive,synthetic,
"hai vợ chồng tình cảm gớm, hai mươi năm vẫn như hồi mới yêu!","hai vợ chồng tình cảm quá, hai mươi năm vẫn như lúc mới yêu!",northern,positive,synthetic,
"kiếm tiền từ giờ đến Tết, không bận là đi liền nhá?","kiếm tiền từ giờ đến Tết, không bận là đi ngay nhé?",northern,positive,synthetic,
"đồ ăn ngon ngọt đậm đà, chuẩn vị Bắc luôn nhờ!","món ăn ngon ngọt đậm đà, đúng vị miền Bắc luôn nhỉ!",northern,positive,synthetic,
hai mẹ con diễn trước ống kính tự nhiên phết đấy.,hai mẹ con diễn trước ống kính rất tự nhiên đấy.,northern,positive,synthetic,
cứ giữ phong độ này là cầm chắc giải nhất trong tay rồi còn gì.,cứ giữ phong độ này là chắc chắn đoạt giải nhất trong tay rồi còn gì.,northern,positive,synthetic,
chiều thu mát mẻ ngồi cà phê phố cổ thích mê đi được!,chiều thu mát mẻ ngồi cà phê phố cổ vô cùng thích!,northern,positive,synthetic,
"Món này ăn cuốn phết nhở, hôm nao phải rủ cả hội qua mới được.","Món này ăn cuốn phết nhỉ, hôm nào phải rủ cả hội qua mới được.",northern,positive,synthetic,
"Trông hai đứa yêu thế cơ chứ, chúc hai bạn mãi hạnh phúc nhá!","Trông hai đứa dễ thương thế cơ chứ, chúc hai bạn mãi hạnh phúc nhé!",northern,positive,synthetic,
"Quán chill phết nhờ, để tối nay ghé qua xem nào.","Quán chill phết nhỉ, để tối nay ghé qua xem sao.",northern,positive,synthetic,
"Cái áo này mặc lên xinh xắn quá cơ, hợp với cậu lắm ấy.","Cái áo này mặc lên xinh xắn quá cơ, hợp với bạn lắm đấy.",northern,positive,synthetic,
Nhìn mâm cơm ngon lịm thế này thì tốn cơm phải biết.,Nhìn mâm cơm ngon lành thế này thì tốn cơm phải biết.,northern,positive,synthetic,
"Góc này chụp ảnh nét căng luôn, đợt tới đi phải check-in mới được.","Góc này chụp ảnh rõ nét luôn, đợt tới đi phải chụp ảnh kỷ niệm mới được.",northern,positive,synthetic,
"Mới sắm quả xe xịn đét thế nhể, khao anh em chầu cà phê đi chứ!","Mới sắm chiếc xe xịn thế nhỉ, khao anh em chầu cà phê đi chứ!",northern,positive,synthetic,
Cảnh đẹp thế này không đi thì phí nửa đời người mất thôi.,Cảnh đẹp thế này không đi thì phí nửa đời người mất thôi.,northern,positive,synthetic,
"Xem clip mà ấm hết cả lòng, bé cưng ngoan ghê cơ.","Xem clip mà ấm hết cả lòng, bé cưng ngoan ghê luôn.",northern,positive,synthetic,
"Mấy đứa nhỏ chơi với nhau xôm thế không biết, vui quá nhờ!","Mấy đứa nhỏ chơi với nhau rôm rả thế không biết, vui quá nhỉ!",northern,positive,synthetic,
"Nay đi làm về được bữa lẩu hết nấc, phê chữ ê kéo dài luôn.","Nay đi làm về được bữa lẩu tuyệt vời, phê tuyệt vời luôn.",northern,positive,synthetic,
"Giọng hát ngọt ngào ghê, nghe mê tít từ nốt đầu tiên rồi ấy.","Giọng hát ngọt ngào ghê, nghe mê tít từ nốt đầu tiên rồi đấy.",northern,positive,synthetic,
Cuối tuần này mà đi phượt thì thời tiết ủng hộ cực kỳ nhể.,Cuối tuần này mà đi phượt thì thời tiết ủng hộ cực kỳ nhỉ.,northern,positive,synthetic,
"Thấy hai vợ chồng nhà này vui tính phết, lúc nào cũng ríu rít với nhau.","Thấy hai vợ chồng nhà này vui tính phết, lúc nào cũng ríu rít với nhau.",northern,positive,synthetic,
"Hôm nào thẩm thử món trà bưởi này xem sao, nghe bảo ngon lắm đấy.","Hôm nào thử món trà bưởi này xem sao, nghe nói ngon lắm đấy.",northern,positive,synthetic,
"Chuyến đi này xịn xịn là, ước gì được quay lại lần nữa nhờ.","Chuyến đi này xịn ghê, ước gì được quay lại lần nữa nhỉ.",northern,positive,synthetic,
