dialect,standard,region,sentiment,source,source_split,dialect_features
"Mình ở Phú Yên, Trường hợp âm ê -> ia thì ở từ về -> dìa Thề -> thờ chứ không thành thìa Uê thì chuyển thành ơ luông Ví dụ như huề thành quờ, Huế thành Hớ :))) Oa thì thường nói sẽ đặc hơn chứ không thành chữ a rõ đâu",,southern,,youtube:IkdZx9eUo7Q,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
Tui chỉ thích giọng nam thôi. Thích nhât giọng saigon chuẩn😂😂,,southern,,youtube:IkdZx9eUo7Q,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
Wow tôi cũng là người miền Trung nè 😮,,southern,,youtube:IkdZx9eUo7Q,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
E nghe dọng Nghệ An r nè,,southern,,youtube:IkdZx9eUo7Q,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
Cô ngữ văn của em bật video này để cho tụi em xem cách phân biệt giọng Bắc Trung Nam nè,,southern,,youtube:IkdZx9eUo7Q,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
Tui ở Đà Nẵng,,southern,,youtube:IkdZx9eUo7Q,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
"Bắc Lai Nam nè, But... nói được cả BA miền",,southern,,youtube:IkdZx9eUo7Q,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
Tui nói: Lẹ lên->lẹ lơn Vậy thì->Dậy thì Gì->Dì Sữa->Sửa….v.v,,southern,,youtube:IkdZx9eUo7Q,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
tui dọng MIỀN TRUNG nè,,southern,,youtube:IkdZx9eUo7Q,,"{""northern"": 0, ""central"": 0, ""southern"": 2}"
Tui miền nào cx hiểu hết( trừ một số tiếng miền Trung),,southern,,youtube:IkdZx9eUo7Q,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
"Tiếng miền Nam dễ thương nên giới trẻ miền Bắc hay nhắn tin bằng tiếng miền Nam rất nhiều Ví dụ: zậy, hông, má ơi, zui, hun, nha, ha,.. còn rất nhiều",,southern,,youtube:IkdZx9eUo7Q,,"{""northern"": 0, ""central"": 0, ""southern"": 2}"
Miền tây chỗ em có vài câu Đi làm=đi mần Đi bộ=lội bộ Còn vài câu mn góp thêm:),,central,,youtube:IkdZx9eUo7Q,,"{""northern"": 0, ""central"": 1, ""southern"": 0}"
Mình người Phú Yên mình nói ko bt các bạn hiểu ko xửng mưa ràu đi dìa thau chớ trời táu,,southern,,youtube:IkdZx9eUo7Q,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
con chào mệ là đúng nhất,,central,,youtube:IkdZx9eUo7Q,,"{""northern"": 0, ""central"": 1, ""southern"": 0}"
Em cũng thế nè 😢😢😢(người huyện Quỳ Hợp) 2:26,,southern,,youtube:IkdZx9eUo7Q,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
"Tui miền nam đây vẫn gọi mẹ nha! Từ má thường gọi vui như kiểu chọc bạn bè thôi như ""gì vậy má, gì vậy bà'",,southern,,youtube:IkdZx9eUo7Q,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
Tui miền bắc,,southern,,youtube:IkdZx9eUo7Q,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
Uầy tui tìm ra 1 ytb tương lại 100k subscribe nè còn là video đầu luôn ông nào tương lai đến xem vô commen đi ( kênh này chưa phải 100k subscribe thì cấm commen chỉ đc like thôi :),,southern,,youtube:IkdZx9eUo7Q,,"{""northern"": 0, ""central"": 0, ""southern"": 2}"
Mẹ e bị lộn l thành n nè,,southern,,youtube:IkdZx9eUo7Q,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
"phú yên còn nhiều từ lắm nha quý vị như cái nồi thành cái nầu, người ta thành ngừ ta, nẫu... , cái chân thành cái chưn cái cẳng :))) còn nhiều lắm mn ạ ai có dịp tới phú yên hay bình định, khánh hòa thì sẽ đc trải nghiệp nghe ng địa phương bắn rap tiếng xứ nẫu",,central,,youtube:IkdZx9eUo7Q,,"{""northern"": 0, ""central"": 2, ""southern"": 0}"
anh ở tỉnh mô rứa anh,,central,,youtube:IkdZx9eUo7Q,,"{""northern"": 0, ""central"": 1, ""southern"": 0}"
"giong Bắc nặng nhưng thật thà giọng trung chua nhưng xâu sắc giọng nam dẹo nhưng bắt tai 2:54 mi đi ga mô , tau đi ga ni : mày đi ga nào , t đi ga này",,central,,youtube:IkdZx9eUo7Q,,"{""northern"": 0, ""central"": 1, ""southern"": 0}"
Cho mn 1 câu miền trung dịch hôn mik [tụi bây đi mô rứa cho đi với mồ],,central,,youtube:IkdZx9eUo7Q,,"{""northern"": 0, ""central"": 1, ""southern"": 0}"
ae thái bình ngọng ln nè,,southern,,youtube:IkdZx9eUo7Q,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
"Quê mẹ tui là Phú Yên ,hay nói trời ơi thành tàu quơ😂,nhiều nhà thì ấm áp dữ lắm,mà ít nhà thì lạnh,hôm 27/1 tui đi Phú Yên chơi mà mặc đồ kiểu áo tay ngắn hơi mỏng quần thì còn mỏng hơn lạnh ơi là lạnh 🥶,bà chị ngạc nhiên thì kêu ồ sí,cháo Phú Yên gọi là ngon ơi là ngon,khi tui ở Sài Gòn thì nóng,còn ở Phú Yên thì mát 💨😊 ❤❤",,southern,,youtube:IkdZx9eUo7Q,,"{""northern"": 0, ""central"": 0, ""southern"": 4}"
Giọng Bắc : Tr thành Ch - hỏi thành nặng - R thành D Giọng Nam: Nói chớt quá trời Giọng Đà Nẵng ok nhất!,,southern,,youtube:IkdZx9eUo7Q,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
Dị mà tui nghe đc hết hiểu hết 10 giọng này. Tui người miền tây. Mà có bạn bè đủ miền😅,,southern,,youtube:cYGqQGqQFVc,,"{""northern"": 0, ""central"": 0, ""southern"": 2}"
Cả họ hàng nhà tui và tui đều nói giọng quảng bình và quảng trị 😂😂😂,,southern,,youtube:cYGqQGqQFVc,,"{""northern"": 0, ""central"": 0, ""southern"": 2}"
"Tui ở bình định nè ""bây phẻ hân""😊",,southern,,youtube:cYGqQGqQFVc,,"{""northern"": 0, ""central"": 0, ""southern"": 2}"
Tui dân Phú Yên nè,,southern,,youtube:cYGqQGqQFVc,,"{""northern"": 0, ""central"": 0, ""southern"": 2}"
Mình ở quảng nôm nè,,southern,,youtube:cYGqQGqQFVc,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
Tôi là người Bình Định nè,,southern,,youtube:cYGqQGqQFVc,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
Tôi là người bình định nè,,southern,,youtube:cYGqQGqQFVc,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
Quảng Nam nè ❤️❤️❤️❤️,,southern,,youtube:cYGqQGqQFVc,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
tui ở quảng trị nè,,southern,,youtube:cYGqQGqQFVc,,"{""northern"": 0, ""central"": 0, ""southern"": 2}"
tui thanh hóa tui thấy giọng tui bìn thườn mà😂,,southern,,youtube:cYGqQGqQFVc,,"{""northern"": 0, ""central"": 0, ""southern"": 3}"
Tui trai miền tây mà tui mê gái giọng phú yên vãi 😗,,southern,,youtube:cYGqQGqQFVc,,"{""northern"": 0, ""central"": 0, ""southern"": 2}"
Ck tui ở Quảng Ngãi tr oi,,southern,,youtube:cYGqQGqQFVc,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
"Phú Yên quê tui , tui hiểu được giọng bình định nha 😂",,southern,,youtube:cYGqQGqQFVc,,"{""northern"": 0, ""central"": 0, ""southern"": 2}"
Tui là ng Quảng Ngãi đây❤,,southern,,youtube:cYGqQGqQFVc,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
Tui người Nghệ An 😊,,southern,,youtube:cYGqQGqQFVc,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
Tui quảng ngãi,,southern,,youtube:cYGqQGqQFVc,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
Ba nghệ An mẹ Thanh Hóa hai cj em tui giọng thanh hóa:)),,southern,,youtube:cYGqQGqQFVc,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
Ủa tiếng thanh hoá dễ hiểu mà😅. Tui ở Thanh Hoá,,southern,,youtube:cYGqQGqQFVc,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
Tui nói đc giọng Huế với Quãng Ngãi,,southern,,youtube:cYGqQGqQFVc,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
Quê mình ở nghệ an nên dễ quá trời mà nói nhanh quá nên gì mà mình đổ ra cấy xọ rồi chạc á😂,,southern,,youtube:cYGqQGqQFVc,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
Ai ở nghệ an vs tau k hầy,,central,,youtube:cYGqQGqQFVc,,"{""northern"": 0, ""central"": 1, ""southern"": 0}"
Tui nói giọng Quảng Trị,,southern,,youtube:cYGqQGqQFVc,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
Bà ở Huế nói chi mà khó nghe rứa hè. Tui người Huế 100%. Nghe đoạn Thanh Hóa với Quảng Bình còn đỡ,,central,,youtube:cYGqQGqQFVc,,"{""northern"": 0, ""central"": 1, ""southern"": 1}"
Phú yên nói chi rứa hè,,central,,youtube:cYGqQGqQFVc,,"{""northern"": 0, ""central"": 1, ""southern"": 0}"
Tui mẹ tôi phú yên ba tui Huế rứa,,southern,,youtube:cYGqQGqQFVc,,"{""northern"": 0, ""central"": 1, ""southern"": 2}"
tui quãng ngãi,,southern,,youtube:cYGqQGqQFVc,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
Bây biết quãng ngãi tiếng khó nghe lắm Chào ❌️ trình Trình ông trình bà đi con rồi còn nữa nè @#%@!^#&@&@*#^!÷&##^^₫& cái gì tao nghe hổng hiểu 😅😅,,southern,,youtube:cYGqQGqQFVc,,"{""northern"": 0, ""central"": 0, ""southern"": 2}"
Ê tui mê bà gia lai nói hay vãi 😂,,southern,,youtube:N6BJjcfwNSQ,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
Khúc cuối cười có duyên ghê hen 😂,,southern,,youtube:N6BJjcfwNSQ,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
"Tui nói được hết cả giọng miền Nam, miền Trung và miền bắc giọng Gia Lai dễ có ai nói được ba giọng giống mình không",,southern,,youtube:N6BJjcfwNSQ,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
Ê tui mê bà già lai nói hay vãi 😂,,southern,,youtube:N6BJjcfwNSQ,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
"Tui gia lai nè nói 1 câu nghe thử nha : "" bà nội thì gọi bà nậu trời ơi thì gọi chời ơi 😂😂😂 Mọi ngừ có nói được như tôi ko",,southern,,youtube:N6BJjcfwNSQ,,"{""northern"": 0, ""central"": 0, ""southern"": 2}"
Nghệ An : Nọi cải chì rứa = nói cái gì vậy Quảng Ngãi : Chả núa cái dì dạy = nói cái gì vậy 😂,,central,,youtube:N6BJjcfwNSQ,,"{""northern"": 0, ""central"": 1, ""southern"": 0}"
Em người gia lai nè❤❤😂😂😂🎉🎉🎉,,southern,,youtube:N6BJjcfwNSQ,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
Miền trung kiểu tui để làm zì 😅😅😅,,southern,,youtube:N6BJjcfwNSQ,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
Cấy chii chi rứa hề có ci trốc tru giọng nghệ an mới khó 😂,,central,,youtube:N6BJjcfwNSQ,,"{""northern"": 0, ""central"": 2, ""southern"": 0}"
Mần cấy chi hề dọng nghệ An tụi tau mới khó nì😊,,central,,youtube:N6BJjcfwNSQ,,"{""northern"": 0, ""central"": 1, ""southern"": 0}"
"Tui nói đc giọng Gia Lai và giọng Huế, giọng nghệ An, giọng miền trung quê ở TP Huế",,southern,,youtube:N6BJjcfwNSQ,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
Giọng hay phết❤,,northern,,youtube:N6BJjcfwNSQ,,"{""northern"": 1, ""central"": 0, ""southern"": 0}"
Tao là người miền Bắc nè😂😂😂,,southern,,youtube:N6BJjcfwNSQ,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
tôi ở gia lai nè 😂 nói thế là đúng rồi,,southern,,youtube:N6BJjcfwNSQ,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
Tôi là người gia Lai nè❤❤❤,,southern,,youtube:N6BJjcfwNSQ,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
Hay vậy tui mê bà rồi đó nha nói hay vãi😅,,southern,,youtube:N6BJjcfwNSQ,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
Tui giọng trung:))),,southern,,youtube:N6BJjcfwNSQ,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
giống giọng Nghệ An vậy chị Em là ngươi Nghệ An nè chị hihi😂😂😂,,southern,,youtube:N6BJjcfwNSQ,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
giọng gia lai tui thấy cũng ko khó lắm,,southern,,youtube:N6BJjcfwNSQ,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
Tôi là người Gia Lai nè.,,southern,,youtube:N6BJjcfwNSQ,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
Đc mà tui giống Miền Nam với Gia Lai mà,,southern,,youtube:N6BJjcfwNSQ,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
Tui mê bà gia lai luôn nha hay vãi😂😂,,southern,,youtube:N6BJjcfwNSQ,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
Tui mê cái bà người gia Lai á bả nói cứ hay hay sao á,,southern,,youtube:N6BJjcfwNSQ,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
hà tĩnh choa thì răng hề😂,,central,,youtube:N6BJjcfwNSQ,,"{""northern"": 0, ""central"": 1, ""southern"": 0}"
Em cũng là người đã lai nè❤❤❤😅😅😅,,southern,,youtube:N6BJjcfwNSQ,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
Ê chị ơi em nói được nè😂😊,,southern,,youtube:N6BJjcfwNSQ,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
Ny tui giọng gia lai nè😂😂,,southern,,youtube:N6BJjcfwNSQ,,"{""northern"": 0, ""central"": 0, ""southern"": 2}"
Ê tui bà gia lai nói hay vãi 😂😂😂,,southern,,youtube:N6BJjcfwNSQ,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
Tui bị lai tiếng mẹ là gia lai nè😂,,southern,,youtube:N6BJjcfwNSQ,,"{""northern"": 0, ""central"": 0, ""southern"": 2}"
“Mi nói cái chi mô rứa”,,central,,youtube:N6BJjcfwNSQ,,"{""northern"": 0, ""central"": 2, ""southern"": 0}"
Tui người Gia Lai 81 đây😊,,southern,,youtube:N6BJjcfwNSQ,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
Tui cũng Gia Lai(bản xác nhập) =),,southern,,youtube:N6BJjcfwNSQ,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
Mình da lai nè 😂😂,,southern,,youtube:N6BJjcfwNSQ,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
Tui có cậu trên gia lai nên tui nói được 😂😂,,southern,,youtube:N6BJjcfwNSQ,,"{""northern"": 0, ""central"": 0, ""southern"": 2}"
Chắc tui bắt chước được tiếng gia lai 😅😂,,southern,,youtube:N6BJjcfwNSQ,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
"ê, giọng mi thì là cấy chi (ae ha tịnh: mô rồi)",,central,,youtube:N6BJjcfwNSQ,,"{""northern"": 0, ""central"": 1, ""southern"": 0}"
Giọng gia lai hay quá trời,,southern,,youtube:N6BJjcfwNSQ,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
Bạn tui nó miền gì mà giọng y trang luôn 😅😅😅,,southern,,youtube:N6BJjcfwNSQ,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
Tui ở miền trung 😊,,southern,,youtube:N6BJjcfwNSQ,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
Tớ được Gia Lai nè được không,,southern,,youtube:N6BJjcfwNSQ,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
Giọng đak lak nè😂😂,,southern,,youtube:N6BJjcfwNSQ,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
"tui BT nói tiếng Anh, tiếng Trung Quốc, tiếng giá lai 😂😂😂",,southern,,youtube:N6BJjcfwNSQ,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
Mì skut si bai nậu dòng khmer nè cưng nói được ko,,southern,,youtube:N6BJjcfwNSQ,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
Ê tui nhớ Gia lai nói có phải z đâu ta?😅,,southern,,youtube:N6BJjcfwNSQ,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
Giọng gia Lai em bt nè 😂😂,,southern,,youtube:N6BJjcfwNSQ,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
"I chang người đồng bào ở chổ tui nè, ủa chứ bà là người đồng bào hay là người kinh",,southern,,youtube:N6BJjcfwNSQ,,"{""northern"": 0, ""central"": 0, ""southern"": 2}"
Chỗ tôi cũng có một người giống gia lai nè mỗi khi bả nói là đéo hiểu j luôn,,southern,,youtube:N6BJjcfwNSQ,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
quãng ngãi tui quên quãng ngãi về các dì nói cái j mà chả hiểu lun gia lai thì hiểu,,southern,,youtube:N6BJjcfwNSQ,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
Giọng gia lai là giọng quê tui,,southern,,youtube:N6BJjcfwNSQ,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
Mình là người gia Lai nè,,southern,,youtube:N6BJjcfwNSQ,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
Lúc mới nói tui còn ko hiểu j =))),,southern,,youtube:N6BJjcfwNSQ,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
Mi có vè đc như giọng Thanh Hóa choa ko🤨,,central,,youtube:N6BJjcfwNSQ,,"{""northern"": 0, ""central"": 1, ""southern"": 0}"
Vậy giọng Khmer tui người Khmer nek 🗿🥀,,southern,,youtube:N6BJjcfwNSQ,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
Ê tui mê bà gia lai nói hay vãi 😂,,southern,,youtube:N6BJjcfwNSQ,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
Tui nói đc hết nhưng phải nghe người miền đó nói mới nhái đc,,southern,,youtube:N6BJjcfwNSQ,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
Gì chứ tui dịch á😂,,southern,,youtube:N6BJjcfwNSQ,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
Ủa tui ở gia lai 15 năm mà ko phải vậy nó phát âm chuẩn mà,,southern,,youtube:N6BJjcfwNSQ,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
Ê bà Già Lại xinh vl chứ lị,,northern,,youtube:N6BJjcfwNSQ,,"{""northern"": 1, ""central"": 0, ""southern"": 0}"
Tui cũng có đứa bạn như này nói gì có hiểu đâu 😂😂😂,,southern,,youtube:N6BJjcfwNSQ,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
Tui là người gia Lai nè,,southern,,youtube:N6BJjcfwNSQ,,"{""northern"": 0, ""central"": 0, ""southern"": 2}"
Ê quê tui ở gia lai😂,,southern,,youtube:N6BJjcfwNSQ,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
Ủa tui tui ở gia lai mà sao tui nói đc :)),,southern,,youtube:N6BJjcfwNSQ,,"{""northern"": 0, ""central"": 0, ""southern"": 3}"
Giọng bà😅 Gia Lai Tôi học được nè,,southern,,youtube:N6BJjcfwNSQ,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
em nỏi đước nè nhẳn tìn cho chì xém,,southern,,youtube:N6BJjcfwNSQ,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
thế ko b anh tao là ai r hà tĩnh nè,,southern,,youtube:N6BJjcfwNSQ,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
Tui nói được cả ba😂😅,,southern,,youtube:N6BJjcfwNSQ,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
Em nói được nè em còn nói được tiếng bắt luôn,,southern,,youtube:N6BJjcfwNSQ,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
Tui ở Gia Lai Ê tui thấy bà kia nói hay lắm,,southern,,youtube:N6BJjcfwNSQ,,"{""northern"": 0, ""central"": 0, ""southern"": 2}"
"Này giỡn thui, giọng Gia Lai trong clip là của mấy bạn người đồng bào nói tiếng Kinh, tui GL gốc nè mấy bà",,southern,,youtube:N6BJjcfwNSQ,,"{""northern"": 0, ""central"": 0, ""southern"": 2}"
T gia lai nè😂,,southern,,youtube:N6BJjcfwNSQ,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
"Bạn team nào đó nhở, Bắc - Trung - Nam?",,northern,,youtube:AwO0KHZOOlc,,"{""northern"": 1, ""central"": 0, ""southern"": 0}"
"2:53 cá nhân tui thích việc thấy em bé hoặc gì đó đáng yêu quá mức sẽ kiểu: ""đáng yêu thế, cho anh cắn hờ nha""!",,southern,,youtube:AwO0KHZOOlc,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
17 cái nồi bánh chưng rồi mà chưa rành Tiếng Việt :> ôi chu choa mạ ơi,,central,,youtube:AwO0KHZOOlc,,"{""northern"": 0, ""central"": 1, ""southern"": 0}"
"Tiếng miền Nam dễ thương nên giới trẻ miền Bắc hay nhắn tin bằng tiếng miền Nam rất nhiều Ví dụ: zậy, hông, má ơi, zui, hun, nha, ha,.. còn rất nhiều :))",,southern,,youtube:AwO0KHZOOlc,,"{""northern"": 0, ""central"": 0, ""southern"": 2}"
chị Vy ơi chị cute rứa hầy..đúng kiểu lâu lâu xỏa bựa tiếng Nghệ trên sóng đúng cười ngứt luôn...mê thựt í,,central,,youtube:AwO0KHZOOlc,,"{""northern"": 0, ""central"": 1, ""southern"": 0}"
Răng chị Vy nói tiếng miền Trung hay rứa 🥴🥴 Em bị nghiện rồi tề <333,,central,,youtube:AwO0KHZOOlc,,"{""northern"": 0, ""central"": 2, ""southern"": 0}"
"Em cũng là người miền Trung nè chị, em ở Quảng Nam ạ. Tiếng anh và tiếng hàn cũng là 2 ngoại ngữ em đang học nên những video như này thật sự rất dễ thương và bổ ích ấy ạ. Lovee u so muchh!!!",,southern,,youtube:AwO0KHZOOlc,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
"Team miền Trung ạ, em ở Nghệ An nè",,southern,,youtube:AwO0KHZOOlc,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
"Thì ra Chị Vy là người Yên Thành Quê Choa, ngưỡng mộ quá.",,central,,youtube:AwO0KHZOOlc,,"{""northern"": 0, ""central"": 1, ""southern"": 0}"
Team miền Trung mô hết rồi hầy!!,,central,,youtube:AwO0KHZOOlc,,"{""northern"": 0, ""central"": 1, ""southern"": 0}"
Team miền Trung nè❤️❤️❤️❤️ Răng mi đi mô rứa Răng? Làm chi rứa? Phổ biến miền Trung đấy❤️,,central,,youtube:AwO0KHZOOlc,,"{""northern"": 0, ""central"": 2, ""southern"": 1}"
em rất thích chị Vy + giọng miền trung + em cũng là người Nghệ An nè 😜😜😜😙😙😙😘😍😍😍,,southern,,youtube:AwO0KHZOOlc,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
haha trời ơi giọng Nghệ quê ta răng mà dễ thương rừa hầy,,central,,youtube:AwO0KHZOOlc,,"{""northern"": 0, ""central"": 1, ""southern"": 0}"
Nghệ An nhà choa mô rồi hầyy🙆‍♀️🌻🤗,,central,,youtube:AwO0KHZOOlc,,"{""northern"": 0, ""central"": 2, ""southern"": 0}"
nhớ giọng nghệ quá phải mò zô trộ ni coi khánh vy nói cho đợ nhớ,,central,,youtube:AwO0KHZOOlc,,"{""northern"": 0, ""central"": 1, ""southern"": 0}"
Ơ thế tui hiểu gần hết mấy từ cả 3 miền luôn 🙂 đỉnh nhờ,,southern,,youtube:AwO0KHZOOlc,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
"Em người miền Trung nè,cùng quê Nghệ An vs chị Vy luôn ạ",,southern,,youtube:AwO0KHZOOlc,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
Ai am đờ sống ở miền Nam quê ở miền Bắc mà lại biết nói tiếng miền Trung 😛 Ai như tui coment nha 🙋,,southern,,youtube:AwO0KHZOOlc,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
Cái đọi bị bể rồi tề miền trung nói ở rứa ❤️,,central,,youtube:AwO0KHZOOlc,,"{""northern"": 0, ""central"": 2, ""southern"": 0}"
2:04 Ngài Hà Tịnh kêu cấy ni là bị bấp vô bàn nữa chị nở :3,,central,,youtube:AwO0KHZOOlc,,"{""northern"": 0, ""central"": 1, ""southern"": 0}"
"Team Miền Trung nè, có cái chi nữa hông bây:)))",,southern,,youtube:AwO0KHZOOlc,,"{""northern"": 0, ""central"": 0, ""southern"": 2}"
