text,source,region,label_source,confidence,match_score
Tui dân Phú Yên nè,youtube:cYGqQGqQFVc,southern,lexicon,medium,2
tui thanh hóa tui thấy giọng tui bìn thườn mà😂,youtube:cYGqQGqQFVc,southern,lexicon,medium,3
Cả họ hàng nhà tui và tui đều nói giọng quảng bình và quảng trị 😂😂😂😂😂😂,youtube:cYGqQGqQFVc,southern,lexicon,medium,2
Hiiiiitau cũng thanh hóa tê tề,youtube:u7L8CHGId0E,central,lexicon,medium,2
"Tui người miền Bắc nè,nghe vậy cũng tạm tạm",youtube:vuW2eSXEzPk,southern,lexicon,medium,2
"Ngày đó mà đăng kiểm như bây giờ thì mấy con ôtô vứt hết nhỉ. Không biết lúc đó mấy thằng đăng kiểm xe lúc đó làm cái gì nhỉ, hay xe cứ chạy được là được phép đi nhỉ?",youtube:gyLKiiQr0GY,northern,lexicon,medium,3
"Con người có thể sống trong nghèo nàn, thiếu thốn. Nhưng người ta không thể sống mà không nghĩ, không nói lên ý nghĩ của mình. Không có gì đau khổ hơn là buộc phải im lặng, không có sự đàn áp nào d/ã man hơn việc bắt người ta phải từ bỏ các tư tưởng của mình và ""nhai lại"" suy nghĩ của kẻ khác. Nền chuyên chính vô sản này làm tê liệt toàn bộ đời sống tinh thần của một dân tộc, làm tê liệt sự hoạt động tinh thần của nhiều thế hệ, làm nhiều thế hệ con người trở thành những con rối, những kẻ mù chỉ biết nhai như vẹt các nguyên lý bảo thủ giáo điều… Công dân của nhà nước cộ/ng sản luôn luôn sợ hãi, luôn luôn lo lắng không biết mình có làm gì sai để khỏi phải chứng minh rằng mình không phải là kẻ thù của chủ nghĩa xã hội. Cơ chế quyền lực cộ/g sả/n tạo ra những hình thức đàn áp tinh vi nhất và bóc lột dã man nhất. Cơ chế hiện nay đang tạo kẽ hở cho tham nhũng, vơ vét tiền của của Nhà nước. Nhưng cái mà chúng ta mất lớn nhất lại không phải là mất tiền, mất của, dù số tiền đó là hàng chục tỉ, hàng trăm tỉ. Cái lớn nhất bị mất, đó là suy đồi đạo đức. Chúng ta sống trong một xã hội mà chúng ta phải tự nói dối với nhau để sống…hic",youtube:gyLKiiQr0GY,central,lexicon,medium,2
"Ôi ! Lòng tê tái nhìn lại những thước phim trên nền nhạc xa thẳm , da diết ...Nghĩ lại một thời khó khăn , nghèo túng , ai cũng như ai ... Thế mà vẫn lạc quan nghĩ về ngày mai. Thế hệ chúng tôi đã đi qua chiến tranh , giải phóng miền Nam về tiếp tục học hành và nuôi con trong những ngày kham khổ .... Đã qua rồi mà lòng vẫn tái tê ...",youtube:gyLKiiQr0GY,central,lexicon,medium,2
"tôi ăn bị rơi cơm ra ngoài , mẹ tôi ko nói M ăn kiểu j vãi hết ra thế kia ? mẹ tôi nói : Mồm m mẻ à ? mẹ tôi ko nói : Sao cái j mà sao mẹ tôi nói : Sao trăng cái j gv tôi ko nói : Thế sao ko làm nốt câu này đi , tôi dạy r cơ mà gv tôi nói : Anh / Chị phần câu này cho tôi đấy à ?",youtube:CxbsQdEqN8g,northern,lexicon,medium,2
Khen Huế 😂😂😂 Tui ở Huế đây tui còn sợ. Nói như hát và chửi cũng hay như hát 😂😂😂,youtube:drpXKfVNjJA,southern,lexicon,medium,2
"Giọng nói là cách phát âm của cùng một từ theo chính tả, còn tiếng nói là dùng một từ khác biệt để mô tả cùng một sự việc, vì vậy chúng ta phải nhận rằng trong tiếng Việt có nhiều tiếng nói khác nhau, ví dụ tiếng Hà Nội “ vậy nhé “ khác với tiếng Huế “ rứa hỉ “, chứ không phải giọng khác nhau.",youtube:drpXKfVNjJA,central,lexicon,medium,2
"Đúng vậy! Trong 1 làng ở Nghệ An, xóm trên với xóm dưới phát âm khác nhau. Ví dụ: từ cục đá ( cục đớ), về ( vìa), nước ( nác), mách ( méc, trẻ), đầu gối ( trộc gụi), lè lưỡi ( lè lại), con gà ( còn ga), con trâu ( còn tru), mày làm gì ( mi mần chi rưa), ga này là ga nào vậy cô? ( Ga ni ga mô ri o?), ...",youtube:drpXKfVNjJA,central,lexicon,medium,5
"Dịch nôm na tiếng phổ thông nè, có vài chỗ ko nghe đc nhé:) Không hầm không hầm cái nước sôi cái thử xem, có đến nỗi đâu nào. Nước sôi ở trong xoong rồi, trong phích, mà hình như cũng có phích. Uống hết mẹ rồi, chưa sôi sao mà uống được. Tiết thì tiết ni ni(?)",youtube:xQtp4L9nw0o,central,lexicon,medium,2
"tui ng nghệ an mà có hiểu cái bà ni nói chị mô, ngọng ngọng a răng á",youtube:xQtp4L9nw0o,central,lexicon,medium,3
Tau ở nghệ An mà có nói được như rứa mô,youtube:xQtp4L9nw0o,central,lexicon,medium,2
mô dệ hiểu mà bạn khó cấy chi mô mồ,youtube:xQtp4L9nw0o,central,lexicon,medium,2
tui người nghệ an nek tui hiểu 😂,youtube:xQtp4L9nw0o,southern,lexicon,medium,2
"Cái chương trình gì mô mà tuần mô cũng phát sóng lúc 20 giờ trên VTV3 , VTV Go, hay cái chộ trên nền tảng truyền hình số Quốc Gia nạ từ thứ 2 đến thứ 6 1 tuần mà không trượt bữa mô.",youtube:MZcbSJ7OoUU,central,lexicon,medium,3
Cị chương trình chi mô mà tuần mô cũng phát sóng lúc 20h trên VTV3 với VTVgo ấy cự chộ mợ nền tảng truyền hình số quốc gia nớ từ thứ hai tới thứ sáu mội tuần mờ khôn trượt bựa mô,youtube:MZcbSJ7OoUU,central,lexicon,medium,4
"Cái chương trình mô mà tuần mô cũng mà phát sóng 20 giờ trên VTV3 , VTV Go, hay cái chộ trên nền tảng truyền hình Quốc Gia nạ từ thứ 2 đến thứ 6 mà không trượt bữa mô. 😅😂😂😂😂😂🎉🎉🎉🎉🎉🎉❤❤❤ Cô gái Nghệ An xinh tài năng năng động hí hỏm😅😅😅😂😂😂",youtube:MZcbSJ7OoUU,central,lexicon,medium,4
Tiếng nghệ an ta rất hay và phong phú. Chi ri mô hầy đi ra ngoài mà nghe được mấy câu ni thì chỉ có nghệ tịnh,youtube:MZcbSJ7OoUU,central,lexicon,medium,3
Giọng Huế hay mô mà hấn kiểu ni 😂❤,youtube:MZcbSJ7OoUU,central,lexicon,medium,2
🌸🌸🌸 Nghe tiếng ai quen giữa …dòng người xa lạ Một cái bắt tay nì …anh người mô đó Cái giọng quê ta đậm… đà sâu nặng Tiếng nói quê mình mộc … mạc mà thương Tiếng của quê hương về .. trong nỗi nhớ Đã gặp nhau rồi …rành dễ làm quen Đưa nhau tìm về hai chữ …đồng hương 2 Tiếng cha âm vang … gió Lào bỏng rát Tiếng mẹ à ơi …heo may rét ngọt Có tiếng sáo diều … miền quê êm ả Có khói lam chiều bờ tre mái rạ Gánh những tảo tần một nắng … hai … sương 3 Có tiếng quê hương … nặng nghĩa ân tình Tiếng nói quê …mình pha rừng trộn biển Giừ gặp nhau đây xôn xao tiếng …Nghệ Mời anh mời chị ơi bạn mình ơi Thêm yêu giọng Nghệ … đưa nhau tìm ớ về 4 Nghe tiếng ai quen giữa dòng .. người xa lạ Một cái bắt tay nì … em người mô đó Cái giọng quê ta đậm … đà sâu nặng Tiếng nói quê mình mộc mạc mà thương Tiếng của quê hương về trong nỗi nhớ Đã gặp nhau rồi rành dễ làm quen Đưa nhau tìm về hai chữ đồng hương Tiếng cha âm vang gió Lào bỏng rát Tiếng mẹ à ơi heo may rét ngọt Có tiếng sáo diều miền quê êm ả Có khói lam chiều bờ tre mái rạ Gánh những tảo tần một nắng hai sương Có tiếng quê hương nặng nghĩa ân tình Tiếng nói quê mình pha rừng trộn biển Giừ gặp nhau đây xôn xao tiếng Nghệ Mời anh mời chị ơi bạn mình ơi Thêm yêu giọng Nghệ đưa nhau tìm ớ về Có tiếng quê hương nặng nghĩa ân tình Tiếng nói quê mình pha rừng trộn biển Giừ gặp nhau đây xôn xao tiếng Nghệ Mời anh mời chị ơi bạn mình ơi Thêm yêu giọng Nghệ đưa nhau tìm ớ về Thêm yêu giọng Nghệ đưa nhau tìm ớ về Thêm yêu giọng Nghệ đưa nhau ta tìm ớ về,youtube:lLNkiL1ajVU,central,lexicon,medium,2
Ao-ni-răng-su-ri,youtube:3TuSVvMKVww,central,lexicon,medium,3
tiếng hà tĩnh choa dệ rứa mà bọn ni nỏ biết nả,youtube:3TuSVvMKVww,central,lexicon,medium,2
Tui quê hà tịnh nè tui nghe dễ hiệu mà 😅😅😅😅,youtube:3TuSVvMKVww,southern,lexicon,medium,3
Tui nè=)))),youtube:AhGsjadDVTA,southern,lexicon,medium,2
chỗ mô quảng trị rứa anh,youtube:QB3n8JM_Nrw,central,lexicon,medium,2
"Rất tự nhiên nhưng có đôi khi Hòa run thì phải, nói rất nhanh, hông kịp nghe luôn. Hòa nói chậm lại 1 xíu là okla nè. Cố gắng nhé. Chúc Hòa gặp nhiều may mắn",youtube:QB3n8JM_Nrw,southern,lexicon,medium,2
Bây biết quãng ngãi tiếng khó nghe lắm Chào ❌️ trình Trình ông trình bà đi con rồi còn nữa nè @#%@!^#&@&@*#^!÷&##^^₫& cái gì tao nghe hổng hiểu 😅😅,youtube:cYGqQGqQFVc,southern,lexicon,medium,2
Tui trai miền tây mà tui mê gái giọng phú yên vãi 😗,youtube:cYGqQGqQFVc,southern,lexicon,medium,2
Phú yên nói chi rứa hè,youtube:cYGqQGqQFVc,central,lexicon,medium,2
"Phú Yên quê tui , tui hiểu được giọng bình định nha 😂",youtube:cYGqQGqQFVc,southern,lexicon,medium,2
Tui dân Phú Yên nè,youtube:cYGqQGqQFVc,southern,lexicon,medium,2
tui thanh hóa tui thấy giọng tui bìn thườn mà😂,youtube:cYGqQGqQFVc,southern,lexicon,medium,3
Cả họ hàng nhà tui và tui đều nói giọng quảng bình và quảng trị 😂😂😂😂😂😂,youtube:cYGqQGqQFVc,southern,lexicon,medium,2
Tui quãng ngãi mà tui cx ko hiểu luôn á,youtube:elCT_LTbaKU,southern,lexicon,medium,2
ba tui ở quảng ngãi mà tui còn ko biết nữa mà,youtube:elCT_LTbaKU,southern,lexicon,medium,2
Tui ở Quảng ngãi nè,youtube:elCT_LTbaKU,southern,lexicon,medium,2
Tui cũng ở quảng ngãi nè xong tui xuống quê tui á rồi ai gặp tui cũng trình mà ko phải là trình ai chấm trình có nghĩ là chào á😂,youtube:elCT_LTbaKU,southern,lexicon,medium,5
Tui Quảng Ngãi nè,youtube:Uta5HqlrQL8,southern,lexicon,medium,2
Tui đà nẵng mà hiểu nè,youtube:Uta5HqlrQL8,southern,lexicon,medium,2
ối dồi ôi tui người quản ngãi nè,youtube:R5225hfaFRA,southern,lexicon,medium,2
Tui miền trung nè,youtube:iERNVpNY4tc,southern,lexicon,medium,2
tui miền trung nè😂😂😂😂😂😅,youtube:iERNVpNY4tc,southern,lexicon,medium,2
"cái chi rửa hầy, mi bị chi chi mô mô rứa, tau đập chết cha mi chừ=))",youtube:iERNVpNY4tc,central,lexicon,medium,4
Ơ tề răng mi óc tru rứa,youtube:iERNVpNY4tc,central,lexicon,medium,3
"Ừ rứa mần chi mần i, t cụng kệ mi luôn 🙄",youtube:iERNVpNY4tc,central,lexicon,medium,3
Có ai ng miền nam giọng bắc k Hãy lên tiếng để tui thấy tui k cô đơn đi:),youtube:iERNVpNY4tc,southern,lexicon,medium,2
Tui người miền trung nè ❤❤😅😅😊😊,youtube:iERNVpNY4tc,southern,lexicon,medium,2
Mi mần cấy chi rứa,youtube:iERNVpNY4tc,central,lexicon,medium,2
Qua trời thêm con ni điên ni nựa là chi,youtube:iERNVpNY4tc,central,lexicon,medium,2
"Trốc bọ , nói rứa mà ko hiểu",youtube:iERNVpNY4tc,central,lexicon,medium,2
Tui là người miền Trung nè ≧∇≦,youtube:iERNVpNY4tc,southern,lexicon,medium,2
"""Răng rứa hề?!"" 🤡",youtube:a5k-HLvWF-o,central,lexicon,medium,2
Anh là người ở mô rứa,youtube:RsOMXz1gmJo,central,lexicon,medium,2
Cấy chi chi rứa a thì miền Trung nó cũng là người Việt Nôm thôi có chi mô mà không học đc cấy anh ni tấc cười hề,youtube:RsOMXz1gmJo,central,lexicon,medium,3
Tui cũng đc nè :))),youtube:EAr-HClzMhU,southern,lexicon,medium,2
Tui thích giọng miền Nam vì tui ở miền nam:),youtube:EAr-HClzMhU,southern,lexicon,medium,2
"Tui Huế mà sao tui không hỉu cà rịch cà tang , mà chưa nghe bao giờ luôn 😮",youtube:MquSuaivgKg,southern,lexicon,medium,2
Em hiểu ở miền Trung nek mấy cấy ni dễ mà hè khó mô mấy anh😂😂,youtube:MquSuaivgKg,central,lexicon,medium,3
tiếng mình được lên video hãnh diện rứa hè:),youtube:MquSuaivgKg,central,lexicon,medium,2
5 Từ cảm thán Huế: Ngon a rứa (Ngon quá vậy trời ) < Ngon dễ sợ < Ngon dễ sợ rứa á hè < Ngon dã man < Rẻ vô hậu (rẻ như cho),youtube:-_IakaDAOhg,central,lexicon,medium,3
Người mô dệ tương vô hậu hè! 😊,youtube:-_IakaDAOhg,central,lexicon,medium,2
Mình ở Nghệ An cũng mô tê răng rứa mà bạn,youtube:-_IakaDAOhg,central,lexicon,medium,4
