dialect,standard,region,sentiment,source,source_split,row_id
"bạn chộ ai cự xưng vợ rứa, rồi đã có ai chưa chơ cũng nhiều đô.","Bạn thấy ai cứ xưng vợ vậy, rồi đã có ai chưa chứ cũng nhiều đó.",central,,vidia2std,train,45
thiệt hông? Đừng thấy hông biết rồi gạt nhen,thật không? Đừng thấy không biết rồi gạt nhé,southern,,vidia2std,train,46
tao có mày rồi tao không lo mô. Chơ mà tao nghị tao cụng đảm đang chịu khó chơ.,"tao có mày rồi tao không lo đâu, chứ mà tao nghĩ tao cũng đảm đang chịu khó lắm chứ",central,,vidia2std,train,47
thấy ổng hên dữ luôn á trời.,thấy ông ấy may dữ luôn đấy trời.,southern,,vidia2std,train,48
"Ra ăn sáng đi, đừng mua mì nựa tề.","Ra ăn sáng đi, đừng mua mì nữa.",central,,vidia2std,train,49
"Có cái nịt, ngày nào mình chẳng đi qua, mấy tháng ni làm chi mở cửa.","Có mới lạ, ngày nào mình cũng đi qua, mấy tháng nay làm gì mở cửa.",central,,vidia2std,train,50
ê túi ni được uống cà phê người đẹp mời cọ.,ê tối nay được uống cà phê người đẹp mời,central,,vidia2std,train,51
"lái thử thì mua cho họ nghe , chơ lên lái xong về là không được mô nờ","lái thử thì mua cho họ nhé , chứ lên lái xong về là không được đâu",central,,vidia2std,train,52
"dừ mần răng nà, có xe mô kéo lên cho đã tội tài xế.",Giờ làm sao này có xe nào kéo lên cho đã tội tài xế.,central,,vidia2std,train,53
trấy nhỏ hơn trên ni hè?,Quả nhỏ hơn trên này nhỉ?,central,,vidia2std,train,54
"Chạy chi khiếp rứa hè?, Mong người không sao.","Chạy gì khiếp quá nhỉ, mong mọi người không sao",central,,vidia2std,train,55
"nhìn sèm hè, ước được ai đó gọi và bảo “đi nhậu tao trả tiền”","nhìn thèm nhỉ, ước được ai đó gọi và bảo “đi nhậu tao trả tiền”",central,,vidia2std,train,56
Mả tổ bây đăng tào lao vớ vẩn vô công rỗi nghề mần dân choa đọc lo lắng.,Mẹ kiếp chúng mày đăng tào lao vớ vẩn vô công rỗi nghề làm dân bọn tao đọc lo lắng.,central,,vidia2std,train,57
"Nói răng, túi qua thấy hắn đi mua chăn.","Nói sao, tối qua thấy nó đi mua chăn.",central,,vidia2std,train,58
mi nói sân si con nhà họ rứa.,Mày nói sân si con nhà họ vậy.,central,,vidia2std,train,59
rứa là tết ni hội họp được rồi.,Vậy là tết này hội họp được rồi.,central,,vidia2std,train,60
tìm đau cả mắt mà khung chộ xét mô hết.,tìm đau cả mắt mà không thấy xét đâu hết,central,,vidia2std,train,61
coi về phụ chớ nói gì nửa hén,sắp xếp về phụ chứ nói gì nữa nhỉ,southern,,vidia2std,train,62
"rứa họ làm chi kiếm được ba, bốn tỷ hè?","sao họ làm gì kiếm được ba, bốn tỷ nhỉ",central,,vidia2std,train,63
"Cháy đen rứa hề, ngon lành chi nửa nạ.","Cháy đen như thế kia, ngon lành gì nữa trời.",central,,vidia2std,train,64
mình không dính được tấm mô hè?,mình không dính được tấm nào nhỉ,central,,vidia2std,train,65
"Răng ảnh hắn thất lạc mô cả rồi, lưa được ảnh ni nựa","Sao ảnh nó thất lạc đâu cả rồi, còn được ảnh này nữa",central,,vidia2std,train,66
Mi truốt rấp đi mi ơi.,Mày cút gấp đi mày ơi.,central,,vidia2std,train,67
"Gà ni bán gấp để dân ủng hộ, chứ đưa cấy ni lên mần chi.","Gà này bán gấp để dân ủng hộ, chứ đưa lên cái này để làm gì.",central,,vidia2std,train,68
Một ít lấy thảo thôi là một bịch to cha bá luôn he,Một ít lấy lòng thôi là một túi to khủng khiếp luôn nhỉ,southern,,vidia2std,train,69
"Đem mấy trái đu đủ xanh lại là có món ngon, tốn rượu à nghe","Mang mấy quả đu đủ xanh lại là có món ngon, tốn rượu đấy nhé",southern,,vidia2std,train,70
Lưa một tuần nựa thi rồi sao,Còn một tuần nữa thi rồi sao,central,,vidia2std,train,71
Đâu kiếm cho tui một anh giống vậy coi.,Đâu tìm cho tôi một anh giống như vậy nào.,southern,,vidia2std,train,72
"giỏi nhỉ Hiếu, Hiếu cũng giỏi mà nhể.","giỏi nhỉ Hiếu, Hiếu cũng giỏi mà nhỉ.",northern,,vidia2std,train,73
"bữa trước đang dừng bị ní kia ủi đít bể đèn chiếu hậu nè, tức á!","bữa trước đang dừng bị bạn kia ủi đít vỡ đèn chiếu hậu đây này, tức ấy!",southern,,vidia2std,train,74
"Ôi giời ạ, tôi có thể đón người vô gia cư này về nuôi được không?","Ôi trời ạ, tôi có thể đón người vô gia cư này về nuôi được không?",northern,,vidia2std,train,75
"Ác nhơn, không tiền bớt ăn nhậu lại tụi bây.","Ác nhân, không tiền bớt ăn nhậu lại chúng mày à.",southern,,vidia2std,train,76
"Béng ni ưng chiên ăn ngon rứa, ra tết năm mô cũng về tết muộn, vẫn còn béng để chiên.","Bánh này thích chiên ăn ngon vậy, ra tết năm nào cũng về tết muộn, vẫn còn bánh để chiên.",central,,vidia2std,train,77
"""Đem bò bán chơ ai dám ra nhận bò nữa mô?""",đem bò bán chứ ai dám ra nhận bò nữa đâu,central,,vidia2std,train,78
Bữa ni đừng ai gọi mình là ênh nữa nha.,Bữa nay đừng ai gọi mình là anh nữa nha.,central,,vidia2std,train,79
"nổ cái thì ba làng nớ cũng chữa cháy rừng thôi, cũng ngất chơ đừng nói là chuyện cho.","Nếu có gì nổ ra thì ba làng đó cũng chỉ lo chữa cháy rừng đến ngất thôi, chứ đừng nói đến chuyện khác",central,,vidia2std,train,80
mùng trâu nhà mình lúc trước nè.,màn trâu nhà mình lúc trước đây này.,southern,,vidia2std,train,81
hoc hỏi đi mai mốt về hành nghề.,hoc hỏi đi sau này về hành nghề.,southern,,vidia2std,train,82
Lợ viết cam kết 6-7 mà dừ lưa 3 nựa,Lỡ viết cam kết 6-7 mà bây giờ còn 3 nữa,central,,vidia2std,train,83
bạn đợt ni mần fan cứng nhiều rứa nhắm.,Bạn đợt này làm fan cứng nhiều vậy.,central,,vidia2std,train,84
"Xe ni là xe bò lốp nha bạn, ai kêu xe tru.","Xe này là xe bò lốp nha bạn, ai mà gọi xe trâu.",central,,vidia2std,train,85
chớ đi coi lân mắc gì mặc váy?,chứ đi xem lân tại sao mặc váy.,southern,,vidia2std,train,86
"Ở nhà cho chắc, chơ ra đường ăn cơm chó lại ăn phiếu phạt nựa thì thôi.","Ở nhà cho chắc, chứ ra đường ăn cơm chó lại còn ăn phiếu phạt nữa thì thôi.",central,,vidia2std,train,87
Độ ni sống kiêng nể ai mô. Mặt phớt phớt tề. Ghét lắm.,Dạo này sống kiêng nể ai đâu. Mặt cứ trơ trơ kìa. Ghét lắm.,central,,vidia2std,train,88
"Răng đội nón rứa hè, khổ.","Sao đội nón vậy nhỉ, khổ.",central,,vidia2std,train,89
Khác chi mô bạn mồ.,Khác gì đâu bạn.,central,,vidia2std,train,90
mai mốt chọn ngày đẹp đi tiếp nhé,hôm nào chọn ngày đẹp đi tiếp nhé,southern,,vidia2std,train,91
Mẹ bạn đi bán ngái hè?,Mẹ bạn đi bán ở xa nhỉ?,central,,vidia2std,train,92
Chời! Hiếm gì mà hiếm. Ở chỗ anh không có nhiều chớ ở dưới em nhóc luôn.,Trời! Hiếm gì mà hiếm. Ở chỗ anh không có nhiều chứ ở dưới em có đầy luôn.,southern,,vidia2std,train,93
"hôm bữa đòi kiếm ăn cho bằng được đó chớ, ai dè hổng ngon","hôm bữa đòi tìm ăn cho bằng được đấy chứ, ai ngờ không ngon",southern,,vidia2std,train,94
"Món mô cụng ngon, sèm chảy nác méng.","Món nào cũng ngon, thèm chảy nước miếng.",central,,vidia2std,train,95
muốn kể tên đó hông tui kể cho nghe nè.,muốn kể tên đấy không tôi kể cho nghe này.,southern,,vidia2std,train,96
giỏi hầy rứa mà không làm 50k bằng 5 tháng coppa.,Giỏi ha vậy mà không làm 50k bằng 5 tháng coppa.,central,,vidia2std,train,97
Đường dìa Vị Thanh nhà mẹ tui nè.,Đường về Vị Thanh nhà mẹ tôi này.,southern,,vidia2std,train,98
"có bao giờ đi, quan tâm mần chi nạ.","Có bao giờ đi, quan tâm làm gì này",central,,vidia2std,train,99
"mưa gió làm chi em, ở nhà mà nghỉ.","Mưa gió làm gì em, ở nhà mà nghỉ.",central,,vidia2std,train,100
biểu hiện bệnh như răng rứa gì?,biểu hiện của bệnh là sao vậy,central,,vidia2std,train,101
rủ bạn chở o tâm nựa!,Rủ bạn chở cô tâm nữa!,central,,vidia2std,train,102
"Mưa gió ri, về ngoại i được chơ, nội tắc đường nha.",Mưa gió thế này về ngoại thì được chứ về nội là tắc đường nha.,central,,vidia2std,train,103
Trời bựa ni chi mô á,Trời hôm nay gì đâu ấy,central,,vidia2std,train,104
"Nhìn toàn nuốt nác miếng, sèm lắm luôn.","Nhìn toàn nuốt nước miếng, thèm lắm luôn.",central,,vidia2std,train,105
Đi nhởi mà không rủ,Đi chơi mà không rủ,central,,vidia2std,train,106
"""Có ai biết người áo xanh tên gì ở mô không hè?""",Có ai biết người áo xanh tên gì ở đâu không nhỉ,central,,vidia2std,train,107
mệt nghe! Hổng lẽ mua cái rộng rồi nhờ ổng qua gắn dùm,mệt nhé! Không lẽ mua cái rộng rồi nhờ ông ấy qua gắn giúp,southern,,vidia2std,train,108
Chị quên che cấy biển tề.,Chị quên che cái biển kìa.,central,,vidia2std,train,109
"hổm giờ tao nghe nhạc, mua đồ tết lần lần rồi má","hôm trước giờ tao nghe nhạc, mua đồ tết dần dần rồi mày",southern,,vidia2std,train,110
"Tui xem từ hôm qua, bạn muộn rứa nạ.","Tôi xem từ hôm qua, bạn muộn vậy à.",central,,vidia2std,train,111
"Tuổi trẻ tài cao mà đẹp rứa mà, vô ngồi trong nớ tiếc quá hè?",Tuổi trẻ tài cao mà đẹp vậy mà vô ngồi trong đó tiếc quá nhỉ.,central,,vidia2std,train,112
Cấy ni có lâu rồi mà.,Cái này có lâu rồi mà,central,,vidia2std,train,113
"mười mấy năm rầu ,khi nào dìa dưới này nhớ hú hí nhan mày","mười mấy năm rồi ,khi nào về dưới này nhớ hú hí nhé mày",southern,,vidia2std,train,114
"""Động lực đi học bằng lái hè?""",Động lực đi học bằng lái nhỉ,central,,vidia2std,train,115
Tau mà về sáng mô tao cũng đi ăn.,Tao mà về sáng nào tao cũng đi ăn.,central,,vidia2std,train,116
Đợi ổng tới Sóc Trăng dắt ổng đi bia ôm,Đợi ông ấy tới Sóc Trăng dắt ông ấy đi bia ôm,southern,,vidia2std,train,117
"""Bữa ni không thấy kêu bác Huệ quê Nghệ An nữa hè?""",Hôm nay không thấy kêu bác Huệ quê Nghệ An nữa nhỉ.,central,,vidia2std,train,118
ê thiệt chứ tầm ni uống tiger ngon hầy,ê thật chứ tầm này uống tiger ngon nhỉ,central,,vidia2std,train,119
Nghỉ 2 ngày không chộ chút bạo mô.,Nghỉ 2 ngày không thấy chút bão đâu,central,,vidia2std,train,120
hổng ấy chị đừng nhắc em được không?,Không ấy chị đừng nhắc em được không.,southern,,vidia2std,train,121
"Bựa nớ tau tán gấy Bắc mà hắn nói hắn không hiểu, rành rầy.","Bữa đấy tao tán gái Bắc mà nó nói nó không hiểu, rõ xấu hổ.",central,,vidia2std,train,122
Ở mô ri hè?,Ở đâu thế nhỉ?,central,,vidia2std,train,123
ăn ở trỏng quài á chứ.,ăn ở trong đấy mãi đấy chứ.,southern,,vidia2std,train,124
"Chừ thèm nác mía, mang qua đây đi.","Giờ thèm nước mía, mang qua đây đi.",central,,vidia2std,train,125
Răng bạn nhiều vợ tương lai rứa?,Sao bạn có nhiều vợ tương lai thế?,central,,vidia2std,train,126
Rứa không đi nước ngoài thì ghép với nước mô được ạ?,Vậy nếu không đi nước ngoài thì ghép với nước nào được ạ?,central,,vidia2std,train,127
Có thiệt không để biết đi nè mấy ní ơi.,Có thật không để biết đi này mấy bạn ơi.,southern,,vidia2std,train,128
"Bộ hết chổ kí hả? Ở dưới cái chỗ to bành ki không kí đâu, chui dô cái lỗ chút ét.","Chẳng lẽ hết chỗ kí hả? Ở dưới cái chỗ to khủng khiếp thì không kí, chui vào cái lỗ bé tí.",southern,,vidia2std,train,129
Tính ra nghèo in miềng cũng khoẻ. Nỏ có tiền. Khỏi ai lừa,Tính ra nghèo giống mình cũng khoẻ. Không có tiền. Khỏi ai lừa,central,,vidia2std,train,130
không biết có kèm theo hụ nhút mô để cho bà con ngoài nớ ăn thử không biết.,Không biết có kèm theo hủ nhút nào để cho bà con ngoài đó ăn thử không biết.,central,,vidia2std,train,131
bựa ni làm bên ban an toàn giao thông khu phố à?,bữa nay làm bên an toàn giao thông khu phố à?,central,,vidia2std,train,132
Người ở mô dữ dậy nè?,Người ở đâu dữ dậy nhỉ?,southern,,vidia2std,train,133
Túi ni đi ở Hội An rồi,Tối nay đi ở Hội An rồi,central,,vidia2std,train,134
Quả này nhẩy xuống sông Nại Hà cũng không rửa được nỗi nhục này.,Quả này nhảy xuống sông Nại Hà cũng không rửa được nỗi nhục này.,northern,,vidia2std,train,135
Biểu diễn ở mô rứa em?,Biểu diễn ở đâu vậy em?,central,,vidia2std,train,136
cô chần chừ ra khỏi nhà thế.,Cô chần chừ ra khỏi nhà thế.,central,,vidia2std,train,137
Cẩm Khê chửa mưa.,Cẩm Khê chưa mưa.,northern,,vidia2std,train,138
Đẹp thiệt nhưng mà tui làm biếng ra đường chơi dễ sợ!,Đẹp thật nhưng mà tôi lười ra đường chơi khủng khiếp!,southern,,vidia2std,train,139
"Ra tù rồi thì tu cái miệng lại nha, chơ giờ không lại cái miệng hại cái thân.","Ra tù rồi thì tu cái miệng lại nha, chứ giờ không tu lại cái miệng hại cái thân",central,,vidia2std,train,140
mô mà gặp được ri vui mới kinh á bây ơi bây,Đâu mà gặp được vậy vui mới sợ ấy chúng mày ơi,central,,vidia2std,train,141
Cá của eng để ai câu ri?,Cá của anh để ai câu thế?,central,,vidia2std,train,142
bữa nói hông có chua mà hổng nghe.,hôm bữa nói không có chua mà không nghe.,southern,,vidia2std,train,143
"chừ ông biết vì răng, máy phải có mật khẩu màn hình rồi chi nữa?",giờ ông biết vì sao máy phải có mật khẩu màn hình rồi gì nữa,central,,vidia2std,train,144
Đến lúc đó còn răng mô nựa mà ăn.,Đến lúc đó còn răng đâu nữa mà ăn.,central,,vidia2std,train,145
"vẹ chạy lại như rứa, ê chịu hè?","Bảo chạy lại như vậy, tôi chịu nhỉ.",central,,vidia2std,train,146
"Cảnh chi ghê rứa trời, thật hả trời ơi","Cảnh gì ghê vậy trời, thật hả trời ơi",central,,vidia2std,train,147
Kiếm cho ra con xe máy nha bây.,TÌm cho ra con xe máy nhé chúng mày.,southern,,vidia2std,train,148
Chi cũng ăn hè?,Gì cũng ăn nhỉ?,central,,vidia2std,train,149
"con gái ai ở phường 5 mình rứa hè, giỏi hi.","con gái ai ở phường 5 mình vậy nhỉ, giỏi nhỉ",central,,vidia2std,train,150
"Thằng này phước lớn bây, móp xe người ta mà người nó không dập chớ.","Thằng này phước lớn chúng mày à, móp xe người ta mà người nó không dập chứ",southern,,vidia2std,train,151
"""Bác coi có con lợn mạ mô không cho nó trèo phát.""",Bác coi có con lợn mẹ nào không cho nó trèo phát.,central,,vidia2std,train,152
Mần tau đi học ướt hết ống quần.,Làm tôi đi học ướt hết ống quần.,central,,vidia2std,train,153
Không có ai mà rủ đi nhề.,Không có ai mà rủ đi nhỉ.,northern,,vidia2std,train,154
"chừ, ước cũng không có mô.",giờ ước cũng không có đâu,central,,vidia2std,train,155
Nhà tao còn nhóc nè.,Nhà tao còn đầy đây này.,southern,,vidia2std,train,156
ri mà có bài viết chi mà chưa khai trương đã gây mất lòng.,thế mà có bài viết gì mà chưa khai trương đã gây mất lòng,central,,vidia2std,train,157
Lễ hội dân gian cơ mà,Lễ hội dân gian cơ mà,northern,,vidia2std,train,158
cái thây em ri răng lọt được?,Cái thân em thế này sao lọt được?,central,,vidia2std,train,159
"Nóng vã hết mồ hôi, chả mưa chứ lị, chỉ chớp thôi.","Nóng vã hết mồ hôi, chẳng mưa chứ, chỉ chớp thôi.",northern,,vidia2std,train,160
em đã dìa nhà.,em đã về nhà.,southern,,vidia2std,train,161
Mi không định nậy hay răng mà tranh xách lồng đèn với trẻ em?,Mày không định lớn hay sao mà tranh xách lồng đèn với trẻ em?,central,,vidia2std,train,162
Phải là mấy ảnh tao mới coi nghe,Phải là mấy anh ấy tao mới xem nhé,southern,,vidia2std,train,163
giờ mới biết em ni cụng người nghệ an.,giờ mới biết em này cũng người nghệ an,central,,vidia2std,train,164
Chưa chộ bạn cầu hôn tui.,Chưa thấy bạn cầu hôn tôi.,central,,vidia2std,train,165
Trời ơi ngon thiệt á! Mỗi lần mình đi Bên Tre là mình phải ghế ăn hà.,Trời ơi ngon thật ấy! Mỗi lần mình đi Bên Tre là mình toàn phải ghế ăn thôi.,southern,,vidia2std,train,166
"tội hè, hôm ni rằm nữa chơ.","tội nhỉ, hôm nay rằm nữa chứ",central,,vidia2std,train,167
uống ngon lành như này mà biểu mày không thích uống,uống ngon lành như này mà bảo mày không thích uống,southern,,vidia2std,train,168
"anh ni thì không biết, nhưng chị ni thì có chồng rồi đó.","Anh này thì không biết, nhưng chị này thì có chồng rồi đấy.",central,,vidia2std,train,169
Răng nổi lắm hè.,Sao nổi lắm nhỉ.,central,,vidia2std,train,170
Vậy khuyên con gấy Hà Tĩnh lấy trai Nghệ An luôn nha bạn.,Vậy khuyên con gái Hà Tĩnh lấy trai Nghệ An luôn nha bạn,central,,vidia2std,train,171
"""Kể ra chị em ta chầu nớ cụng có nhiều kỉ niệm đẹp em hì?""",Kể ra chị em ta hồi đó cũng có nhiều kỉ niệm đẹp em nhỉ?,central,,vidia2std,train,172
chơ ăn bún thịt nướng mà qua đường rứa phiêu quá.,chứ ăn bún thịt nướng mà qua đường vậy phiêu quá,central,,vidia2std,train,173
Bạn thì nhìn em mô cụng xao xuyến thôi.,Bạn thì nhìn cô gái nào cũng xao xuyến thôi.,central,,vidia2std,train,174
Vụt xong về làm bát ô tô cơm,Vụt xong về làm bát tô cơm,northern,,vidia2std,train,175
để hỏi quán đó coi có bán hông,để tôi hỏi quán đấy xem có bán không,southern,,vidia2std,train,176
dẫy để bữa nào tui dìa tui dạy cho một phá đọc hiểu rầu sẽ hiểu,vậy để bữa nào tôi về tôi dạy cho một khóa đọc hiểu rồi sẽ hiểu,southern,,vidia2std,train,177
Coi chừng đừng để mất bò rồi mới lo mần chuồng thì truốt chạc,Cẩn thận đừng để mất bò rồi mới lo làm chuồng thì hỏng,central,,vidia2std,train,178
Mắc đúng với cái tên của bả.,Đắt đúng với cái tên của bà ấy.,southern,,vidia2std,train,179
Ả ni sọi thật!,Chị này xinh thật!,central,,vidia2std,train,180
"""đã vô lâu ra còn lấy ghế của anh nựa.""",Đã vào lâu ra còn lấy ghế của anh nữa.,central,,vidia2std,train,181
"""Mệ Thủy Lê đặt váy chi dữ rứa hè?""",bà Thủy Lê đặt váy gì dữ vậy nhỉ,central,,vidia2std,train,182
"thằng đệ biết dắt anh đi mô, rồi chi nữa?",thằng đệ biết dắt anh đi đâu rồi chứ gì nữa,central,,vidia2std,train,183
"chín ngon lắm đó, mai mốt có chín chị cho em ăn thử, còn sống thì nó đắng nghét à.","chín ngon lắm đấy, hôm nào có chín chị cho em ăn thử, còn sống thì nó đắng nghét à.",southern,,vidia2std,train,184
"Biết chi mô? Nhởi với chắc đó chừ mi biết tính tau rồi, đừng hỏi rứa","Biết gì đâu? Chơi với nhau đó giờ mày biết tính tao rồi, đừng hỏi như vậy",central,,vidia2std,train,185
"tìm chi mệt, hết tiền đói dăn răng, tự mò về thôi","tìm chi cho mệt, hết tiền ăn là đói dần, sao cũng tự đi về thôi",central,,vidia2std,train,186
họ không cho vô mô eng.,họ không cho vô đâu anh.,central,,vidia2std,train,187
Vụ chi đây em chưa nghe tin mọi người hè? Xin chia buồn cùng các gia đình anh hùng.,Vụ gì đây mà em chưa nghe tin mọi người nhỉ? Xin chia buồn cùng các gia đình anh hùng liệt sĩ.,central,,vidia2std,train,188
Hại hay răng mà nỏ chộ nói chi.,Sợ hay sao mà không thấy nói gì.,central,,vidia2std,train,189
chỗ truyện này đẹp phết nhờ?,chỗ truyện này đẹp phết nhỉ?,northern,,vidia2std,train,190
Rứa đổ lỗi cho ai Bình hè?,Vậy đổ lỗi cho ai Bình nhỉ?,central,,vidia2std,train,191
có khi mô Ben thúi ri không?,Có khi nào Ben thối thế này không?,central,,vidia2std,train,192
"""Có 21 năm nữa chơ mấy, trời thương vẫn đi tốt chơ hẹ?""","Có 21 năm nữa chứ mấy, trời thương vẫn đi tốt chứ nhỉ?",central,,vidia2std,train,193
"mằn chi đi bứt mà nhớ nạ, chù yếu là chị với bà.","làm gì đi bứt mà nhớ, chủ yếu là chị với bà.",central,,vidia2std,train,194
Tuy mắc nhưng được cái không ngon,Tuy đắt nhưng được cái không ngon,southern,,vidia2std,train,195
xin anh Mai cho chị cưới chồng nữa là chị ủng hộ nhiều hơn ri tề.,Xin anh Mai cho chị cưới chồng nữa là chị ủng hộ nhiều hơn thế này kìa.,central,,vidia2std,train,196
Nhìn mà chảy nước miếng thiệt luôn.,Nhìn mà chảy nước bọt thật luôn.,southern,,vidia2std,train,197
