dialect,standard,region,sentiment,source,source_split
"đại gia tương lai đây, chơ mô nữa bạn hè?",đại gia tương lai đây chứ đâu nữa bạn nhỉ,central,,vidia2std,train
Nhà tôi có 7 chị em gấy.,Nhà tôi có 7 chị em gái.,central,,vidia2std,train
chi chơ 3 triệu nắm chắc trong tay luôn,gì chứ 3 triệu nắm chắc trong tay luôn,central,,vidia2std,train
Em cần tìm mặt bằng để bỏ kì lò với cùn ngài ni để bán béng pizza,Em cần tìm mặt bằng để bỏ cái lò với con người này để bán bánh pizza,central,,vidia2std,train
Răng mà rứa hề?,Sao mà như thế nhỉ?,central,,vidia2std,train
bùng binh này về hướng cầu Hàm Luông á.,vòng xoay này về hướng cầu Hàm Luông đấy.,southern,,vidia2std,train
Nhốt bả chừng mấy tháng cho bả tởn,Nhốt bà ấy chừng mấy tháng cho bà ấy sợ,southern,,vidia2std,train
Rốc rang muối.,Cua đồng rang muối.,northern,,vidia2std,train
Hông ấy khỏi Tết đi được hông ta,Không ấy khỏi Tết đi được không nhỉ,southern,,vidia2std,train
"Cụ chưa có duyên với đất Vinh, chơ đêm đi truy lùng rứa mà vẩn không được.","Mình chưa có duyên với đất Vinh, chứ đêm đi truy lùng như thế mà vẫn không được.",central,,vidia2std,train
bõ bèn gì anh nhờ?,bõ bèn gì anh nhỉ?,northern,,vidia2std,train
Mần lại y không hắn gãy.,Làm lại đi không nó gãy.,central,,vidia2std,train
Nay cỏ nhiều chứ thời tui đi bộ xa mới bứt được gánh cỏ.,Nay có nhiều chứ thời tôi đi bộ xa mới bứt được gánh cỏ.,central,,vidia2std,train
Mình đi khi mô dòm kị hai bên đường mà nỏ khi mô thấy.,Mình đi khi nào cũng nhìn kỹ hai bên đường mà không khi nào thấy.,central,,vidia2std,train
"Lạo mần lạo như thổ địa chân cầu Cửa Tùng chưa nả, vô mà bắt ốc đi mi.","Lão làm như lão là thổ địa chân cầu Cửa Tùng chưa, vào mà bắt ốc đi mày.",central,,vidia2std,train
"Đầu nguồn thì nước đỏ ngầu, Sông Hồng ứ lại đổi mầu xanh đen.","Đầu nguồn thì nước đỏ ngầu, Sông Hồng ứ lại đổi màu xanh đen.",northern,,vidia2std,train
Mi hiểu ý tau chi?,Mày hiểu ý tao đúng không?,central,,vidia2std,train
thử coi xe với cột đèn nào cứng hơn,thử xem xe với cột đèn cái nào cứng hơn,southern,,vidia2std,train
"giờ hông thấy luôn, mà ăn bột bột ngon hen.","giờ không thấy luôn, mà ăn bột bột ngon nhỉ.",southern,,vidia2std,train
hôm nay tiền mô ăn sang ri.,hôm nay tiền đâu ăn sang thế này,central,,vidia2std,train
"Chèn ơi thèm mà hông nhớ tên , chỉ nhớ là nó rất ngon.","Trời ơi thèm mà không nhớ tên , chỉ nhớ là nó rất ngon.",southern,,vidia2std,train
"Kẹt xe vậy mai lên sớm nha thầy, mốt kẹt xe nha thầy","Tắt đường vậy mai lên sớm nhé thầy, ngày mốt tắc đường nhé thầy",southern,,vidia2std,train
"huy chộ đoán mù mà, không khi mô được gọi tên hề?",Huy thấy đoán mù mà không khi nào được gọi tên nhỉ.,central,,vidia2std,train
Chửi nửa tiếng mệt thấy bà. Hơi đâu chửi cả tiếng nổi trời,Chửi nửa tiếng mệt khủng khiếp. Sức đâu chửi cả tiếng nổi trời,southern,,vidia2std,train
"Chát thấy bà, nhưng mà ăn xong nuốt nước miếng cũng thấy ngọt, không cần uống nước","Chát khủng khiếp, nhưng mà ăn xong nuốt nước bọt cũng thấy ngọt, không cần uống nước",southern,,vidia2std,train
mi hâm à đôi ta không thể đến được với nhau nựa hãy tìm đối tượng khác mà yêu đi.,"Mày khùng ấy, đôi ta không thể đến được với nhau nữa, hãy tìm đối tượng khác mà yêu đi.",central,,vidia2std,train
Ở Nghệ An cụng nghe cấy bốp.,Ở Nghệ An cụng nghe cái bốp,central,,vidia2std,train
"Để rứa mà đơm ăn thêm vài méng, chơ ngồi phòng điều hoà mần chi.","Để vậy mà lấy ăn thêm vài miếng, chứ ngồi phòng điều hòa làm gì",central,,vidia2std,train
"bạn chộ ai cự xưng vợ rứa, rồi đã có ai chưa chơ cũng nhiều đô.","Bạn thấy ai cứ xưng vợ vậy, rồi đã có ai chưa chứ cũng nhiều đó.",central,,vidia2std,train
thiệt hông? Đừng thấy hông biết rồi gạt nhen,thật không? Đừng thấy không biết rồi gạt nhé,southern,,vidia2std,train
tao có mày rồi tao không lo mô. Chơ mà tao nghị tao cụng đảm đang chịu khó chơ.,"tao có mày rồi tao không lo đâu, chứ mà tao nghĩ tao cũng đảm đang chịu khó lắm chứ",central,,vidia2std,train
thấy ổng hên dữ luôn á trời.,thấy ông ấy may dữ luôn đấy trời.,southern,,vidia2std,train
"Ra ăn sáng đi, đừng mua mì nựa tề.","Ra ăn sáng đi, đừng mua mì nữa.",central,,vidia2std,train
"Có cái nịt, ngày nào mình chẳng đi qua, mấy tháng ni làm chi mở cửa.","Có mới lạ, ngày nào mình cũng đi qua, mấy tháng nay làm gì mở cửa.",central,,vidia2std,train
ê túi ni được uống cà phê người đẹp mời cọ.,ê tối nay được uống cà phê người đẹp mời,central,,vidia2std,train
"lái thử thì mua cho họ nghe , chơ lên lái xong về là không được mô nờ","lái thử thì mua cho họ nhé , chứ lên lái xong về là không được đâu",central,,vidia2std,train
"dừ mần răng nà, có xe mô kéo lên cho đã tội tài xế.",Giờ làm sao này có xe nào kéo lên cho đã tội tài xế.,central,,vidia2std,train
trấy nhỏ hơn trên ni hè?,Quả nhỏ hơn trên này nhỉ?,central,,vidia2std,train
"Chạy chi khiếp rứa hè?, Mong người không sao.","Chạy gì khiếp quá nhỉ, mong mọi người không sao",central,,vidia2std,train
"nhìn sèm hè, ước được ai đó gọi và bảo “đi nhậu tao trả tiền”","nhìn thèm nhỉ, ước được ai đó gọi và bảo “đi nhậu tao trả tiền”",central,,vidia2std,train
Mả tổ bây đăng tào lao vớ vẩn vô công rỗi nghề mần dân choa đọc lo lắng.,Mẹ kiếp chúng mày đăng tào lao vớ vẩn vô công rỗi nghề làm dân bọn tao đọc lo lắng.,central,,vidia2std,train
"Nói răng, túi qua thấy hắn đi mua chăn.","Nói sao, tối qua thấy nó đi mua chăn.",central,,vidia2std,train
mi nói sân si con nhà họ rứa.,Mày nói sân si con nhà họ vậy.,central,,vidia2std,train
rứa là tết ni hội họp được rồi.,Vậy là tết này hội họp được rồi.,central,,vidia2std,train
tìm đau cả mắt mà khung chộ xét mô hết.,tìm đau cả mắt mà không thấy xét đâu hết,central,,vidia2std,train
coi về phụ chớ nói gì nửa hén,sắp xếp về phụ chứ nói gì nữa nhỉ,southern,,vidia2std,train
"rứa họ làm chi kiếm được ba, bốn tỷ hè?","sao họ làm gì kiếm được ba, bốn tỷ nhỉ",central,,vidia2std,train
"Cháy đen rứa hề, ngon lành chi nửa nạ.","Cháy đen như thế kia, ngon lành gì nữa trời.",central,,vidia2std,train
mình không dính được tấm mô hè?,mình không dính được tấm nào nhỉ,central,,vidia2std,train
"Răng ảnh hắn thất lạc mô cả rồi, lưa được ảnh ni nựa","Sao ảnh nó thất lạc đâu cả rồi, còn được ảnh này nữa",central,,vidia2std,train
Mi truốt rấp đi mi ơi.,Mày cút gấp đi mày ơi.,central,,vidia2std,train
"Gà ni bán gấp để dân ủng hộ, chứ đưa cấy ni lên mần chi.","Gà này bán gấp để dân ủng hộ, chứ đưa lên cái này để làm gì.",central,,vidia2std,train
Một ít lấy thảo thôi là một bịch to cha bá luôn he,Một ít lấy lòng thôi là một túi to khủng khiếp luôn nhỉ,southern,,vidia2std,train
"Đem mấy trái đu đủ xanh lại là có món ngon, tốn rượu à nghe","Mang mấy quả đu đủ xanh lại là có món ngon, tốn rượu đấy nhé",southern,,vidia2std,train
Lưa một tuần nựa thi rồi sao,Còn một tuần nữa thi rồi sao,central,,vidia2std,train
Đâu kiếm cho tui một anh giống vậy coi.,Đâu tìm cho tôi một anh giống như vậy nào.,southern,,vidia2std,train
"giỏi nhỉ Hiếu, Hiếu cũng giỏi mà nhể.","giỏi nhỉ Hiếu, Hiếu cũng giỏi mà nhỉ.",northern,,vidia2std,train
"bữa trước đang dừng bị ní kia ủi đít bể đèn chiếu hậu nè, tức á!","bữa trước đang dừng bị bạn kia ủi đít vỡ đèn chiếu hậu đây này, tức ấy!",southern,,vidia2std,train
"Ôi giời ạ, tôi có thể đón người vô gia cư này về nuôi được không?","Ôi trời ạ, tôi có thể đón người vô gia cư này về nuôi được không?",northern,,vidia2std,train
"Ác nhơn, không tiền bớt ăn nhậu lại tụi bây.","Ác nhân, không tiền bớt ăn nhậu lại chúng mày à.",southern,,vidia2std,train
"Béng ni ưng chiên ăn ngon rứa, ra tết năm mô cũng về tết muộn, vẫn còn béng để chiên.","Bánh này thích chiên ăn ngon vậy, ra tết năm nào cũng về tết muộn, vẫn còn bánh để chiên.",central,,vidia2std,train
"""Đem bò bán chơ ai dám ra nhận bò nữa mô?""",đem bò bán chứ ai dám ra nhận bò nữa đâu,central,,vidia2std,train
Bữa ni đừng ai gọi mình là ênh nữa nha.,Bữa nay đừng ai gọi mình là anh nữa nha.,central,,vidia2std,train
"nổ cái thì ba làng nớ cũng chữa cháy rừng thôi, cũng ngất chơ đừng nói là chuyện cho.","Nếu có gì nổ ra thì ba làng đó cũng chỉ lo chữa cháy rừng đến ngất thôi, chứ đừng nói đến chuyện khác",central,,vidia2std,train
mùng trâu nhà mình lúc trước nè.,màn trâu nhà mình lúc trước đây này.,southern,,vidia2std,train
hoc hỏi đi mai mốt về hành nghề.,hoc hỏi đi sau này về hành nghề.,southern,,vidia2std,train
Lợ viết cam kết 6-7 mà dừ lưa 3 nựa,Lỡ viết cam kết 6-7 mà bây giờ còn 3 nữa,central,,vidia2std,train
bạn đợt ni mần fan cứng nhiều rứa nhắm.,Bạn đợt này làm fan cứng nhiều vậy.,central,,vidia2std,train
"Xe ni là xe bò lốp nha bạn, ai kêu xe tru.","Xe này là xe bò lốp nha bạn, ai mà gọi xe trâu.",central,,vidia2std,train
chớ đi coi lân mắc gì mặc váy?,chứ đi xem lân tại sao mặc váy.,southern,,vidia2std,train
"Ở nhà cho chắc, chơ ra đường ăn cơm chó lại ăn phiếu phạt nựa thì thôi.","Ở nhà cho chắc, chứ ra đường ăn cơm chó lại còn ăn phiếu phạt nữa thì thôi.",central,,vidia2std,train
Độ ni sống kiêng nể ai mô. Mặt phớt phớt tề. Ghét lắm.,Dạo này sống kiêng nể ai đâu. Mặt cứ trơ trơ kìa. Ghét lắm.,central,,vidia2std,train
"Răng đội nón rứa hè, khổ.","Sao đội nón vậy nhỉ, khổ.",central,,vidia2std,train
Khác chi mô bạn mồ.,Khác gì đâu bạn.,central,,vidia2std,train
mai mốt chọn ngày đẹp đi tiếp nhé,hôm nào chọn ngày đẹp đi tiếp nhé,southern,,vidia2std,train
Mẹ bạn đi bán ngái hè?,Mẹ bạn đi bán ở xa nhỉ?,central,,vidia2std,train
Chời! Hiếm gì mà hiếm. Ở chỗ anh không có nhiều chớ ở dưới em nhóc luôn.,Trời! Hiếm gì mà hiếm. Ở chỗ anh không có nhiều chứ ở dưới em có đầy luôn.,southern,,vidia2std,train
"hôm bữa đòi kiếm ăn cho bằng được đó chớ, ai dè hổng ngon","hôm bữa đòi tìm ăn cho bằng được đấy chứ, ai ngờ không ngon",southern,,vidia2std,train
"Món mô cụng ngon, sèm chảy nác méng.","Món nào cũng ngon, thèm chảy nước miếng.",central,,vidia2std,train
muốn kể tên đó hông tui kể cho nghe nè.,muốn kể tên đấy không tôi kể cho nghe này.,southern,,vidia2std,train
giỏi hầy rứa mà không làm 50k bằng 5 tháng coppa.,Giỏi ha vậy mà không làm 50k bằng 5 tháng coppa.,central,,vidia2std,train
Đường dìa Vị Thanh nhà mẹ tui nè.,Đường về Vị Thanh nhà mẹ tôi này.,southern,,vidia2std,train
"có bao giờ đi, quan tâm mần chi nạ.","Có bao giờ đi, quan tâm làm gì này",central,,vidia2std,train
"mưa gió làm chi em, ở nhà mà nghỉ.","Mưa gió làm gì em, ở nhà mà nghỉ.",central,,vidia2std,train
biểu hiện bệnh như răng rứa gì?,biểu hiện của bệnh là sao vậy,central,,vidia2std,train
rủ bạn chở o tâm nựa!,Rủ bạn chở cô tâm nữa!,central,,vidia2std,train
"Mưa gió ri, về ngoại i được chơ, nội tắc đường nha.",Mưa gió thế này về ngoại thì được chứ về nội là tắc đường nha.,central,,vidia2std,train
Trời bựa ni chi mô á,Trời hôm nay gì đâu ấy,central,,vidia2std,train
"Nhìn toàn nuốt nác miếng, sèm lắm luôn.","Nhìn toàn nuốt nước miếng, thèm lắm luôn.",central,,vidia2std,train
Đi nhởi mà không rủ,Đi chơi mà không rủ,central,,vidia2std,train
"""Có ai biết người áo xanh tên gì ở mô không hè?""",Có ai biết người áo xanh tên gì ở đâu không nhỉ,central,,vidia2std,train
mệt nghe! Hổng lẽ mua cái rộng rồi nhờ ổng qua gắn dùm,mệt nhé! Không lẽ mua cái rộng rồi nhờ ông ấy qua gắn giúp,southern,,vidia2std,train
Chị quên che cấy biển tề.,Chị quên che cái biển kìa.,central,,vidia2std,train
"hổm giờ tao nghe nhạc, mua đồ tết lần lần rồi má","hôm trước giờ tao nghe nhạc, mua đồ tết dần dần rồi mày",southern,,vidia2std,train
"Tui xem từ hôm qua, bạn muộn rứa nạ.","Tôi xem từ hôm qua, bạn muộn vậy à.",central,,vidia2std,train
"Tuổi trẻ tài cao mà đẹp rứa mà, vô ngồi trong nớ tiếc quá hè?",Tuổi trẻ tài cao mà đẹp vậy mà vô ngồi trong đó tiếc quá nhỉ.,central,,vidia2std,train
Cấy ni có lâu rồi mà.,Cái này có lâu rồi mà,central,,vidia2std,train
"mười mấy năm rầu ,khi nào dìa dưới này nhớ hú hí nhan mày","mười mấy năm rồi ,khi nào về dưới này nhớ hú hí nhé mày",southern,,vidia2std,train
"""Động lực đi học bằng lái hè?""",Động lực đi học bằng lái nhỉ,central,,vidia2std,train
Tau mà về sáng mô tao cũng đi ăn.,Tao mà về sáng nào tao cũng đi ăn.,central,,vidia2std,train
Đợi ổng tới Sóc Trăng dắt ổng đi bia ôm,Đợi ông ấy tới Sóc Trăng dắt ông ấy đi bia ôm,southern,,vidia2std,train
"""Bữa ni không thấy kêu bác Huệ quê Nghệ An nữa hè?""",Hôm nay không thấy kêu bác Huệ quê Nghệ An nữa nhỉ.,central,,vidia2std,train
ê thiệt chứ tầm ni uống tiger ngon hầy,ê thật chứ tầm này uống tiger ngon nhỉ,central,,vidia2std,train
Nghỉ 2 ngày không chộ chút bạo mô.,Nghỉ 2 ngày không thấy chút bão đâu,central,,vidia2std,train
hổng ấy chị đừng nhắc em được không?,Không ấy chị đừng nhắc em được không.,southern,,vidia2std,train
"Bựa nớ tau tán gấy Bắc mà hắn nói hắn không hiểu, rành rầy.","Bữa đấy tao tán gái Bắc mà nó nói nó không hiểu, rõ xấu hổ.",central,,vidia2std,train
Ở mô ri hè?,Ở đâu thế nhỉ?,central,,vidia2std,train
ăn ở trỏng quài á chứ.,ăn ở trong đấy mãi đấy chứ.,southern,,vidia2std,train
"Chừ thèm nác mía, mang qua đây đi.","Giờ thèm nước mía, mang qua đây đi.",central,,vidia2std,train
Răng bạn nhiều vợ tương lai rứa?,Sao bạn có nhiều vợ tương lai thế?,central,,vidia2std,train
Rứa không đi nước ngoài thì ghép với nước mô được ạ?,Vậy nếu không đi nước ngoài thì ghép với nước nào được ạ?,central,,vidia2std,train
Có thiệt không để biết đi nè mấy ní ơi.,Có thật không để biết đi này mấy bạn ơi.,southern,,vidia2std,train
"Bộ hết chổ kí hả? Ở dưới cái chỗ to bành ki không kí đâu, chui dô cái lỗ chút ét.","Chẳng lẽ hết chỗ kí hả? Ở dưới cái chỗ to khủng khiếp thì không kí, chui vào cái lỗ bé tí.",southern,,vidia2std,train
Tính ra nghèo in miềng cũng khoẻ. Nỏ có tiền. Khỏi ai lừa,Tính ra nghèo giống mình cũng khoẻ. Không có tiền. Khỏi ai lừa,central,,vidia2std,train
không biết có kèm theo hụ nhút mô để cho bà con ngoài nớ ăn thử không biết.,Không biết có kèm theo hủ nhút nào để cho bà con ngoài đó ăn thử không biết.,central,,vidia2std,train
bựa ni làm bên ban an toàn giao thông khu phố à?,bữa nay làm bên an toàn giao thông khu phố à?,central,,vidia2std,train
Người ở mô dữ dậy nè?,Người ở đâu dữ dậy nhỉ?,southern,,vidia2std,train
Túi ni đi ở Hội An rồi,Tối nay đi ở Hội An rồi,central,,vidia2std,train
Quả này nhẩy xuống sông Nại Hà cũng không rửa được nỗi nhục này.,Quả này nhảy xuống sông Nại Hà cũng không rửa được nỗi nhục này.,northern,,vidia2std,train
Biểu diễn ở mô rứa em?,Biểu diễn ở đâu vậy em?,central,,vidia2std,train
cô chần chừ ra khỏi nhà thế.,Cô chần chừ ra khỏi nhà thế.,central,,vidia2std,train
Cẩm Khê chửa mưa.,Cẩm Khê chưa mưa.,northern,,vidia2std,train
Đẹp thiệt nhưng mà tui làm biếng ra đường chơi dễ sợ!,Đẹp thật nhưng mà tôi lười ra đường chơi khủng khiếp!,southern,,vidia2std,train
"Ra tù rồi thì tu cái miệng lại nha, chơ giờ không lại cái miệng hại cái thân.","Ra tù rồi thì tu cái miệng lại nha, chứ giờ không tu lại cái miệng hại cái thân",central,,vidia2std,train
mô mà gặp được ri vui mới kinh á bây ơi bây,Đâu mà gặp được vậy vui mới sợ ấy chúng mày ơi,central,,vidia2std,train
Cá của eng để ai câu ri?,Cá của anh để ai câu thế?,central,,vidia2std,train
bữa nói hông có chua mà hổng nghe.,hôm bữa nói không có chua mà không nghe.,southern,,vidia2std,train
"chừ ông biết vì răng, máy phải có mật khẩu màn hình rồi chi nữa?",giờ ông biết vì sao máy phải có mật khẩu màn hình rồi gì nữa,central,,vidia2std,train
Đến lúc đó còn răng mô nựa mà ăn.,Đến lúc đó còn răng đâu nữa mà ăn.,central,,vidia2std,train
"vẹ chạy lại như rứa, ê chịu hè?","Bảo chạy lại như vậy, tôi chịu nhỉ.",central,,vidia2std,train
"Cảnh chi ghê rứa trời, thật hả trời ơi","Cảnh gì ghê vậy trời, thật hả trời ơi",central,,vidia2std,train
Kiếm cho ra con xe máy nha bây.,TÌm cho ra con xe máy nhé chúng mày.,southern,,vidia2std,train
Chi cũng ăn hè?,Gì cũng ăn nhỉ?,central,,vidia2std,train
"con gái ai ở phường 5 mình rứa hè, giỏi hi.","con gái ai ở phường 5 mình vậy nhỉ, giỏi nhỉ",central,,vidia2std,train
"Thằng này phước lớn bây, móp xe người ta mà người nó không dập chớ.","Thằng này phước lớn chúng mày à, móp xe người ta mà người nó không dập chứ",southern,,vidia2std,train
"""Bác coi có con lợn mạ mô không cho nó trèo phát.""",Bác coi có con lợn mẹ nào không cho nó trèo phát.,central,,vidia2std,train
Mần tau đi học ướt hết ống quần.,Làm tôi đi học ướt hết ống quần.,central,,vidia2std,train
Không có ai mà rủ đi nhề.,Không có ai mà rủ đi nhỉ.,northern,,vidia2std,train
"chừ, ước cũng không có mô.",giờ ước cũng không có đâu,central,,vidia2std,train
Nhà tao còn nhóc nè.,Nhà tao còn đầy đây này.,southern,,vidia2std,train
ri mà có bài viết chi mà chưa khai trương đã gây mất lòng.,thế mà có bài viết gì mà chưa khai trương đã gây mất lòng,central,,vidia2std,train
Lễ hội dân gian cơ mà,Lễ hội dân gian cơ mà,northern,,vidia2std,train
cái thây em ri răng lọt được?,Cái thân em thế này sao lọt được?,central,,vidia2std,train
"Nóng vã hết mồ hôi, chả mưa chứ lị, chỉ chớp thôi.","Nóng vã hết mồ hôi, chẳng mưa chứ, chỉ chớp thôi.",northern,,vidia2std,train
em đã dìa nhà.,em đã về nhà.,southern,,vidia2std,train
Mi không định nậy hay răng mà tranh xách lồng đèn với trẻ em?,Mày không định lớn hay sao mà tranh xách lồng đèn với trẻ em?,central,,vidia2std,train
Phải là mấy ảnh tao mới coi nghe,Phải là mấy anh ấy tao mới xem nhé,southern,,vidia2std,train
giờ mới biết em ni cụng người nghệ an.,giờ mới biết em này cũng người nghệ an,central,,vidia2std,train
Chưa chộ bạn cầu hôn tui.,Chưa thấy bạn cầu hôn tôi.,central,,vidia2std,train
Trời ơi ngon thiệt á! Mỗi lần mình đi Bên Tre là mình phải ghế ăn hà.,Trời ơi ngon thật ấy! Mỗi lần mình đi Bên Tre là mình toàn phải ghế ăn thôi.,southern,,vidia2std,train
"tội hè, hôm ni rằm nữa chơ.","tội nhỉ, hôm nay rằm nữa chứ",central,,vidia2std,train
uống ngon lành như này mà biểu mày không thích uống,uống ngon lành như này mà bảo mày không thích uống,southern,,vidia2std,train
"anh ni thì không biết, nhưng chị ni thì có chồng rồi đó.","Anh này thì không biết, nhưng chị này thì có chồng rồi đấy.",central,,vidia2std,train
Răng nổi lắm hè.,Sao nổi lắm nhỉ.,central,,vidia2std,train
Vậy khuyên con gấy Hà Tĩnh lấy trai Nghệ An luôn nha bạn.,Vậy khuyên con gái Hà Tĩnh lấy trai Nghệ An luôn nha bạn,central,,vidia2std,train
"""Kể ra chị em ta chầu nớ cụng có nhiều kỉ niệm đẹp em hì?""",Kể ra chị em ta hồi đó cũng có nhiều kỉ niệm đẹp em nhỉ?,central,,vidia2std,train
chơ ăn bún thịt nướng mà qua đường rứa phiêu quá.,chứ ăn bún thịt nướng mà qua đường vậy phiêu quá,central,,vidia2std,train
Bạn thì nhìn em mô cụng xao xuyến thôi.,Bạn thì nhìn cô gái nào cũng xao xuyến thôi.,central,,vidia2std,train
Vụt xong về làm bát ô tô cơm,Vụt xong về làm bát tô cơm,northern,,vidia2std,train
để hỏi quán đó coi có bán hông,để tôi hỏi quán đấy xem có bán không,southern,,vidia2std,train
dẫy để bữa nào tui dìa tui dạy cho một phá đọc hiểu rầu sẽ hiểu,vậy để bữa nào tôi về tôi dạy cho một khóa đọc hiểu rồi sẽ hiểu,southern,,vidia2std,train
Coi chừng đừng để mất bò rồi mới lo mần chuồng thì truốt chạc,Cẩn thận đừng để mất bò rồi mới lo làm chuồng thì hỏng,central,,vidia2std,train
Mắc đúng với cái tên của bả.,Đắt đúng với cái tên của bà ấy.,southern,,vidia2std,train
Ả ni sọi thật!,Chị này xinh thật!,central,,vidia2std,train
"""đã vô lâu ra còn lấy ghế của anh nựa.""",Đã vào lâu ra còn lấy ghế của anh nữa.,central,,vidia2std,train
"""Mệ Thủy Lê đặt váy chi dữ rứa hè?""",bà Thủy Lê đặt váy gì dữ vậy nhỉ,central,,vidia2std,train
"thằng đệ biết dắt anh đi mô, rồi chi nữa?",thằng đệ biết dắt anh đi đâu rồi chứ gì nữa,central,,vidia2std,train
"chín ngon lắm đó, mai mốt có chín chị cho em ăn thử, còn sống thì nó đắng nghét à.","chín ngon lắm đấy, hôm nào có chín chị cho em ăn thử, còn sống thì nó đắng nghét à.",southern,,vidia2std,train
"Biết chi mô? Nhởi với chắc đó chừ mi biết tính tau rồi, đừng hỏi rứa","Biết gì đâu? Chơi với nhau đó giờ mày biết tính tao rồi, đừng hỏi như vậy",central,,vidia2std,train
"tìm chi mệt, hết tiền đói dăn răng, tự mò về thôi","tìm chi cho mệt, hết tiền ăn là đói dần, sao cũng tự đi về thôi",central,,vidia2std,train
họ không cho vô mô eng.,họ không cho vô đâu anh.,central,,vidia2std,train
Vụ chi đây em chưa nghe tin mọi người hè? Xin chia buồn cùng các gia đình anh hùng.,Vụ gì đây mà em chưa nghe tin mọi người nhỉ? Xin chia buồn cùng các gia đình anh hùng liệt sĩ.,central,,vidia2std,train
Hại hay răng mà nỏ chộ nói chi.,Sợ hay sao mà không thấy nói gì.,central,,vidia2std,train
chỗ truyện này đẹp phết nhờ?,chỗ truyện này đẹp phết nhỉ?,northern,,vidia2std,train
Rứa đổ lỗi cho ai Bình hè?,Vậy đổ lỗi cho ai Bình nhỉ?,central,,vidia2std,train
có khi mô Ben thúi ri không?,Có khi nào Ben thối thế này không?,central,,vidia2std,train
"""Có 21 năm nữa chơ mấy, trời thương vẫn đi tốt chơ hẹ?""","Có 21 năm nữa chứ mấy, trời thương vẫn đi tốt chứ nhỉ?",central,,vidia2std,train
"mằn chi đi bứt mà nhớ nạ, chù yếu là chị với bà.","làm gì đi bứt mà nhớ, chủ yếu là chị với bà.",central,,vidia2std,train
Tuy mắc nhưng được cái không ngon,Tuy đắt nhưng được cái không ngon,southern,,vidia2std,train
xin anh Mai cho chị cưới chồng nữa là chị ủng hộ nhiều hơn ri tề.,Xin anh Mai cho chị cưới chồng nữa là chị ủng hộ nhiều hơn thế này kìa.,central,,vidia2std,train
Nhìn mà chảy nước miếng thiệt luôn.,Nhìn mà chảy nước bọt thật luôn.,southern,,vidia2std,train
"Rành ưng nạ, mi ngồi chộ mô.","Rất thích ạ, mày ngồi chỗ nào.",central,,vidia2std,train
Như ri thì đi bao lâu hè?,Như thế này thì đi bao lâu nhỉ,central,,vidia2std,train
coi ở mô đi kiếm 2 triệu.,coi ở đâu đi kiếm 2 triệu,central,,vidia2std,train
Quẹt khu nha mi.,Không thèm nhé mày.,southern,,vidia2std,train
Quả ni quả chi ri?,Quả này quả gì vậy?,central,,vidia2std,train
"Bảo sao người phố họ vẫn giầu, anh nhỉ?","Bảo sao người phố họ vẫn giàu, anh nhỉ?",northern,,vidia2std,train
Biết ngay chi chi cũng lên báo.,Biết ngay gì đâu cũng lên báo.,central,,vidia2std,train
