row_id,dialect,region,sentiment
37,"Chèn ơi thèm mà hông nhớ tên , chỉ nhớ là nó rất ngon.",southern,
38,"Kẹt xe vậy mai lên sớm nha thầy, mốt kẹt xe nha thầy",southern,
39,"huy chộ đoán mù mà, không khi mô được gọi tên hề?",central,
40,Chửi nửa tiếng mệt thấy bà. Hơi đâu chửi cả tiếng nổi trời,southern,
41,"Chát thấy bà, nhưng mà ăn xong nuốt nước miếng cũng thấy ngọt, không cần uống nước",southern,
42,mi hâm à đôi ta không thể đến được với nhau nựa hãy tìm đối tượng khác mà yêu đi.,central,
43,Ở Nghệ An cụng nghe cấy bốp.,central,
44,"Để rứa mà đơm ăn thêm vài méng, chơ ngồi phòng điều hoà mần chi.",central,
45,"bạn chộ ai cự xưng vợ rứa, rồi đã có ai chưa chơ cũng nhiều đô.",central,
46,thiệt hông? Đừng thấy hông biết rồi gạt nhen,southern,
47,tao có mày rồi tao không lo mô. Chơ mà tao nghị tao cụng đảm đang chịu khó chơ.,central,
48,thấy ổng hên dữ luôn á trời.,southern,
49,"Ra ăn sáng đi, đừng mua mì nựa tề.",central,
50,"Có cái nịt, ngày nào mình chẳng đi qua, mấy tháng ni làm chi mở cửa.",central,
51,ê túi ni được uống cà phê người đẹp mời cọ.,central,
52,"lái thử thì mua cho họ nghe , chơ lên lái xong về là không được mô nờ",central,
53,"dừ mần răng nà, có xe mô kéo lên cho đã tội tài xế.",central,
54,trấy nhỏ hơn trên ni hè?,central,
55,"Chạy chi khiếp rứa hè?, Mong người không sao.",central,
56,"nhìn sèm hè, ước được ai đó gọi và bảo “đi nhậu tao trả tiền”",central,
57,Mả tổ bây đăng tào lao vớ vẩn vô công rỗi nghề mần dân choa đọc lo lắng.,central,
58,"Nói răng, túi qua thấy hắn đi mua chăn.",central,
59,mi nói sân si con nhà họ rứa.,central,
60,rứa là tết ni hội họp được rồi.,central,
61,tìm đau cả mắt mà khung chộ xét mô hết.,central,
62,coi về phụ chớ nói gì nửa hén,southern,
63,"rứa họ làm chi kiếm được ba, bốn tỷ hè?",central,
64,"Cháy đen rứa hề, ngon lành chi nửa nạ.",central,
65,mình không dính được tấm mô hè?,central,
66,"Răng ảnh hắn thất lạc mô cả rồi, lưa được ảnh ni nựa",central,
67,Mi truốt rấp đi mi ơi.,central,
68,"Gà ni bán gấp để dân ủng hộ, chứ đưa cấy ni lên mần chi.",central,
69,Một ít lấy thảo thôi là một bịch to cha bá luôn he,southern,
70,"Đem mấy trái đu đủ xanh lại là có món ngon, tốn rượu à nghe",southern,
71,Lưa một tuần nựa thi rồi sao,central,
72,Đâu kiếm cho tui một anh giống vậy coi.,southern,
73,"giỏi nhỉ Hiếu, Hiếu cũng giỏi mà nhể.",northern,
74,"bữa trước đang dừng bị ní kia ủi đít bể đèn chiếu hậu nè, tức á!",southern,
75,"Ôi giời ạ, tôi có thể đón người vô gia cư này về nuôi được không?",northern,
76,"Ác nhơn, không tiền bớt ăn nhậu lại tụi bây.",southern,
77,"Béng ni ưng chiên ăn ngon rứa, ra tết năm mô cũng về tết muộn, vẫn còn béng để chiên.",central,
78,"""Đem bò bán chơ ai dám ra nhận bò nữa mô?""",central,
79,Bữa ni đừng ai gọi mình là ênh nữa nha.,central,
80,"nổ cái thì ba làng nớ cũng chữa cháy rừng thôi, cũng ngất chơ đừng nói là chuyện cho.",central,
81,mùng trâu nhà mình lúc trước nè.,southern,
82,hoc hỏi đi mai mốt về hành nghề.,southern,
83,Lợ viết cam kết 6-7 mà dừ lưa 3 nựa,central,
84,bạn đợt ni mần fan cứng nhiều rứa nhắm.,central,
85,"Xe ni là xe bò lốp nha bạn, ai kêu xe tru.",central,
86,chớ đi coi lân mắc gì mặc váy?,southern,
87,"Ở nhà cho chắc, chơ ra đường ăn cơm chó lại ăn phiếu phạt nựa thì thôi.",central,
88,Độ ni sống kiêng nể ai mô. Mặt phớt phớt tề. Ghét lắm.,central,
89,"Răng đội nón rứa hè, khổ.",central,
90,Khác chi mô bạn mồ.,central,
91,mai mốt chọn ngày đẹp đi tiếp nhé,southern,
92,Mẹ bạn đi bán ngái hè?,central,
93,Chời! Hiếm gì mà hiếm. Ở chỗ anh không có nhiều chớ ở dưới em nhóc luôn.,southern,
94,"hôm bữa đòi kiếm ăn cho bằng được đó chớ, ai dè hổng ngon",southern,
95,"Món mô cụng ngon, sèm chảy nác méng.",central,
96,muốn kể tên đó hông tui kể cho nghe nè.,southern,
97,giỏi hầy rứa mà không làm 50k bằng 5 tháng coppa.,central,
98,Đường dìa Vị Thanh nhà mẹ tui nè.,southern,
99,"có bao giờ đi, quan tâm mần chi nạ.",central,
100,"mưa gió làm chi em, ở nhà mà nghỉ.",central,
101,biểu hiện bệnh như răng rứa gì?,central,
102,rủ bạn chở o tâm nựa!,central,
103,"Mưa gió ri, về ngoại i được chơ, nội tắc đường nha.",central,
104,Trời bựa ni chi mô á,central,
105,"Nhìn toàn nuốt nác miếng, sèm lắm luôn.",central,
106,Đi nhởi mà không rủ,central,
107,"""Có ai biết người áo xanh tên gì ở mô không hè?""",central,
108,mệt nghe! Hổng lẽ mua cái rộng rồi nhờ ổng qua gắn dùm,southern,
109,Chị quên che cấy biển tề.,central,
110,"hổm giờ tao nghe nhạc, mua đồ tết lần lần rồi má",southern,
111,"Tui xem từ hôm qua, bạn muộn rứa nạ.",central,
112,"Tuổi trẻ tài cao mà đẹp rứa mà, vô ngồi trong nớ tiếc quá hè?",central,
113,Cấy ni có lâu rồi mà.,central,
114,"mười mấy năm rầu ,khi nào dìa dưới này nhớ hú hí nhan mày",southern,
115,"""Động lực đi học bằng lái hè?""",central,
116,Tau mà về sáng mô tao cũng đi ăn.,central,
117,Đợi ổng tới Sóc Trăng dắt ổng đi bia ôm,southern,
118,"""Bữa ni không thấy kêu bác Huệ quê Nghệ An nữa hè?""",central,
119,ê thiệt chứ tầm ni uống tiger ngon hầy,central,
120,Nghỉ 2 ngày không chộ chút bạo mô.,central,
121,hổng ấy chị đừng nhắc em được không?,southern,
122,"Bựa nớ tau tán gấy Bắc mà hắn nói hắn không hiểu, rành rầy.",central,
123,Ở mô ri hè?,central,
124,ăn ở trỏng quài á chứ.,southern,
125,"Chừ thèm nác mía, mang qua đây đi.",central,
126,Răng bạn nhiều vợ tương lai rứa?,central,
127,Rứa không đi nước ngoài thì ghép với nước mô được ạ?,central,
128,Có thiệt không để biết đi nè mấy ní ơi.,southern,
129,"Bộ hết chổ kí hả? Ở dưới cái chỗ to bành ki không kí đâu, chui dô cái lỗ chút ét.",southern,
130,Tính ra nghèo in miềng cũng khoẻ. Nỏ có tiền. Khỏi ai lừa,central,
131,không biết có kèm theo hụ nhút mô để cho bà con ngoài nớ ăn thử không biết.,central,
132,bựa ni làm bên ban an toàn giao thông khu phố à?,central,
133,Người ở mô dữ dậy nè?,southern,
134,Túi ni đi ở Hội An rồi,central,
135,Quả này nhẩy xuống sông Nại Hà cũng không rửa được nỗi nhục này.,northern,
136,Biểu diễn ở mô rứa em?,central,
137,cô chần chừ ra khỏi nhà thế.,central,
138,Cẩm Khê chửa mưa.,northern,
139,Đẹp thiệt nhưng mà tui làm biếng ra đường chơi dễ sợ!,southern,
140,"Ra tù rồi thì tu cái miệng lại nha, chơ giờ không lại cái miệng hại cái thân.",central,
141,mô mà gặp được ri vui mới kinh á bây ơi bây,central,
142,Cá của eng để ai câu ri?,central,
143,bữa nói hông có chua mà hổng nghe.,southern,
144,"chừ ông biết vì răng, máy phải có mật khẩu màn hình rồi chi nữa?",central,
145,Đến lúc đó còn răng mô nựa mà ăn.,central,
146,"vẹ chạy lại như rứa, ê chịu hè?",central,
147,"Cảnh chi ghê rứa trời, thật hả trời ơi",central,
148,Kiếm cho ra con xe máy nha bây.,southern,
149,Chi cũng ăn hè?,central,
150,"con gái ai ở phường 5 mình rứa hè, giỏi hi.",central,
151,"Thằng này phước lớn bây, móp xe người ta mà người nó không dập chớ.",southern,
152,"""Bác coi có con lợn mạ mô không cho nó trèo phát.""",central,
153,Mần tau đi học ướt hết ống quần.,central,
154,Không có ai mà rủ đi nhề.,northern,
155,"chừ, ước cũng không có mô.",central,
156,Nhà tao còn nhóc nè.,southern,
157,ri mà có bài viết chi mà chưa khai trương đã gây mất lòng.,central,
158,Lễ hội dân gian cơ mà,northern,
159,cái thây em ri răng lọt được?,central,
160,"Nóng vã hết mồ hôi, chả mưa chứ lị, chỉ chớp thôi.",northern,
161,em đã dìa nhà.,southern,
162,Mi không định nậy hay răng mà tranh xách lồng đèn với trẻ em?,central,
163,Phải là mấy ảnh tao mới coi nghe,southern,
164,giờ mới biết em ni cụng người nghệ an.,central,
165,Chưa chộ bạn cầu hôn tui.,central,
166,Trời ơi ngon thiệt á! Mỗi lần mình đi Bên Tre là mình phải ghế ăn hà.,southern,
167,"tội hè, hôm ni rằm nữa chơ.",central,
168,uống ngon lành như này mà biểu mày không thích uống,southern,
169,"anh ni thì không biết, nhưng chị ni thì có chồng rồi đó.",central,
170,Răng nổi lắm hè.,central,
171,Vậy khuyên con gấy Hà Tĩnh lấy trai Nghệ An luôn nha bạn.,central,
172,"""Kể ra chị em ta chầu nớ cụng có nhiều kỉ niệm đẹp em hì?""",central,
173,chơ ăn bún thịt nướng mà qua đường rứa phiêu quá.,central,
174,Bạn thì nhìn em mô cụng xao xuyến thôi.,central,
175,Vụt xong về làm bát ô tô cơm,northern,
176,để hỏi quán đó coi có bán hông,southern,
177,dẫy để bữa nào tui dìa tui dạy cho một phá đọc hiểu rầu sẽ hiểu,southern,
178,Coi chừng đừng để mất bò rồi mới lo mần chuồng thì truốt chạc,central,
179,Mắc đúng với cái tên của bả.,southern,
180,Ả ni sọi thật!,central,
181,"""đã vô lâu ra còn lấy ghế của anh nựa.""",central,
182,"""Mệ Thủy Lê đặt váy chi dữ rứa hè?""",central,
183,"thằng đệ biết dắt anh đi mô, rồi chi nữa?",central,
184,"chín ngon lắm đó, mai mốt có chín chị cho em ăn thử, còn sống thì nó đắng nghét à.",southern,
185,"Biết chi mô? Nhởi với chắc đó chừ mi biết tính tau rồi, đừng hỏi rứa",central,
186,"tìm chi mệt, hết tiền đói dăn răng, tự mò về thôi",central,
187,họ không cho vô mô eng.,central,
188,Vụ chi đây em chưa nghe tin mọi người hè? Xin chia buồn cùng các gia đình anh hùng.,central,
189,Hại hay răng mà nỏ chộ nói chi.,central,
190,chỗ truyện này đẹp phết nhờ?,northern,
191,Rứa đổ lỗi cho ai Bình hè?,central,
192,có khi mô Ben thúi ri không?,central,
193,"""Có 21 năm nữa chơ mấy, trời thương vẫn đi tốt chơ hẹ?""",central,
194,"mằn chi đi bứt mà nhớ nạ, chù yếu là chị với bà.",central,
195,Tuy mắc nhưng được cái không ngon,southern,
196,xin anh Mai cho chị cưới chồng nữa là chị ủng hộ nhiều hơn ri tề.,central,
197,Nhìn mà chảy nước miếng thiệt luôn.,southern,
198,"Rành ưng nạ, mi ngồi chộ mô.",central,
199,Như ri thì đi bao lâu hè?,central,
200,coi ở mô đi kiếm 2 triệu.,central,
201,Quẹt khu nha mi.,southern,
202,Quả ni quả chi ri?,central,
203,"Bảo sao người phố họ vẫn giầu, anh nhỉ?",northern,
204,Biết ngay chi chi cũng lên báo.,central,
205,"bé đi trước rồi mốt o vô dẫn o đi tiếp, chơ chờ o chắc lâu.",central,
206,"""Nghe nói thấy ngá khu chơ có giải quyết được vấn đề chi mô.""",central,
207,bạn bè em út chi đem hắn về tề?,central,
208,"Trời ơi, bây ơi bây, dô đây coi nè",southern,
209,cơm nác chi chưa người đẹp?,central,
210,chắc chắn óp rồi chơ mần răng chắc ngon một đổi một như chị em miềng được.,central,
211,Tui mà thấy tui hét oang rồi vỗ tay nưa!,central,
212,"ảnh cũ chơ, phải ảnh mới mô bạn.",central,
213,"Ai nỏ rứa, vài bựa nựa là thành liền i mà.",central,
214,"Úi giời, 11 năm nữa mày hơn 50 mất rồi.",northern,
215,"mi đi mô rứa con tê, mi mằn cái chi rứa, trời ơi là trời.",central,
216,Ôi u có bí kíp gì mà trẻ đẹp quá!,northern,
217,Nghe nói ả tính mần du Thanh Chương.,central,
218,Khúc này 2 bên chắc mắc cười dữ lắm,southern,
219,"Loay hoay nỏ biết nấu chi. Thôi thì cho cha con ăn tạm tối như ri cũng được, chứ biết răng chừ.",central,
220,Khó khắn chi cũng cố găng chơ.,central,
221,"dìa rồi, nãy đi đường thẳng, phải quẹo là gặp rồi",southern,
222,mai mốt đi đâu mình cẩn thận nghe mình.,southern,
223,"Sắp dìa rồi bà , một tháng rưỡi nữa tui dìa",southern,
224,Rứa mà không bày chồng hấn kiếm tí.,central,
225,nhanh trí chạy làm tô.,southern,
226,Đúng người từng trải chi cụng hay. Mấy ả lớn lớn với mẹ đơn thân chắc nhớ lạo lắm.,central,
227,"Còn quà kẹo bon bon nữa, kẹo dừa giấy mầu xanh nữa.",northern,
228,Nhận chạy quảng cáo cú ni trúng đủ bạn hỉ!,central,
229,ê răng tao nhìn thấy giống mày ri.,central,
230,Đâu chớ quơ tui nóng thí mồ,southern,
231,để nào tui dẫn đi cho biết.,southern,
232,kêu vào cho ngắm chung đỡ thèm thôi chớ có đi được đâu.,southern,
233,"kiếm tiền từ giờ đến Tết, không bận là đi được nhể?",northern,
234,Trời ni mần xị nựa!,central,
235,Nếu ví dụ rớt xuống bơ răng hè?,central,
236,Cá viên chiên nay bán không được thì mai mốt bán có sao đâu.,southern,
237,Đi tầu trên cao cho khỏi tắc.,northern,
238,Ở lộ mô của vịnh rứa hầy? Cho địa chỉ với.,central,
239,mốt nó méc xe mình đổ 150 nghìn xăng cho coi.,southern,
240,"anh chắc rứa anh, vẽ mô đi đá gà toàn ăn rứa.",central,
241,"Cho hỏi ngu phát, thế tầu thuyền không đi lại được nữa hả các bác?",northern,
242,tuổi thơ dữ dội chị nhể?,northern,
243,"Trời đất quơi, mùa mưa đây là hết bài rầu",southern,
244,2 con báo quánh rồi chọc lộn cả ngày chớ hổng phải thiên thần.,southern,
245,Đừng nói rứa mà họ tưởng mình cờ đỏ di động chừ.,central,
246,Ơ tê. Khổ là khổ ra răng được. Khỏe cả đôi. Đỡ phải lo.,central,
247,Cùng quan điểm nghen. Ai uống cũng uống dữ thiệt.,southern,
248,Hèn chi lương 6 triệu chưa có bồ,southern,
249,Ai vẹ đi đường tắt?,central,
250,Chỗ mô ri bạn?,central,
251,hèn chi công an tối ni đi nhiều anh hè?,central,
252,Ôi thèm món ni quá. Ai đi vô mang cho tôi ít với.,central,
253,"xa thế, phải chờ bu về mới triển được.",northern,
254,Rứa bơ chủ quán đóng cửa có mô mà kinh doanh nữa trời.,central,
255,"hoan hỉ quá ạ, xin tùy hỉ công đức vô lượng của chị ạ, cảm ơn gia đình chị rất nhiều.",central,
256,Thương chì chi. Mẹ mô mà bỏ con ri nựa.,central,
257,"bệnh ni lây, đừng cho em đi chơi nựa",central,
258,"Tầm ni lấy nhông là vừa, tiếc.",central,
259,rứa chắc đợi lên Thành phố Trung ương mần luôn.,central,
260,"Hoài Đảm chi cụng , chỉ chưa có người yêu thôi. Chị em quê ta nghiên cứu nha.",central,
261,Quán đặt tên ri răng xin vợ đi nhậu được.,central,
262,"ta không thích hấn mô hậy, không ai chào đón mô.",central,
263,Chi mà đốt cho cháy đen ri bay.,central,
264,O Hằng Nguyễn có tiền mô mà rủ đi ăn.,central,
265,anh Vượng giàu sang về mô cũng ngon huyện quê nớ.,central,
266,Ca ni ở trong nam gọi là cá khoai.,central,
267,vậy ở chổ mô không núa tui nghe nà?,southern,
268,Ok. Mần luôn. Đang sèm.,central,
269,Hà Tĩnh địa chỉ mô hè?,central,
270,mày làm tao hoang mang theo chả nhẽ đầu nghĩ bao nhiêu bữa thì từng ấy bữa tất niên.,northern,
271,Hà Tĩnh nhà choa rứa đó. Phát một. May chưa đập ban tổ chức là hữu nghị lắm.,central,
272,Cường nói nặng lời rứa cường như heo thôi lợn mô rứa hè?,central,
273,Hà Tĩnh dạo ni không dám nghèo nựa mô bạn.,central,
274,Sân bay nằm ở mô ri bà con hè?,central,
275,chắc không sao đâu nhể. Không xảy ra án mạng gì chứ?,northern,
276,Rùi tui làm chi có vàng mà ghê với gớm.,central,
277,có bác sĩ trong nhà rồi mà sợ chi nựa.,central,
278,Chợ ni ở chộ mô rứa cả nhà ơi?,central,
279,"ráng lên thôi, một ngày hông xa đâu nà",southern,
280,"Cha, bình thường có cấy mô không?",central,
281,"Dừ là đi chữa lành tâm hồn, dạo phố, xem phim, hẹn hò bạn ơi, ăn uống quan trọng chi?",central,
282,bỏ 300 nghìn nhậu ói lên ói xuống rồi 3 triệu nhậu chi ngạ,central,
283,Chiều chiều chạy xuống làm ly.,southern,
284,Mần chi khó coi rứa thằng tê.,central,
285,"ni mà, về duy xuyên khen thưởng chắc xếp hàng mệt nghỉ hỉ?",central,
286,"2 anh em ta đi, chắc họ không nói chi mô hầy?",central,
287,Ông bán xăng cho bả hồi chiều đâu rồi vô xem nè,southern,
288,nói chi rứa mi?,central,
289,em bựa ni cũng công dân thành phố vinh. Mà chưa biết khối chi.,central,
290,O hằng phải chỗ mô đẳng cấp hơn nha.,central,
291,"Ăn tối, làm lon bia xong không dám ra đường.",southern,
292,Tao nhìn cái video tao mắc cười,southern,
293,"Chự mô cũng dấu má đầy đủ, lưa 2 chự ni là răng?",central,
294,Răng mà thương rứa hầy?,central,
295,"Mi có lấy cái máy bơm nước nhà tay không rứa, mi quay qua quay lại mất tiu!",central,
296,Chi mà cười như được mùa rứa.,central,
297,"Ối giời ơi, hôm nay cũng mới vặt!",northern,
298,"Đang lo cho vợ con, hơi đâu mà nghĩ tận Cần Thơ như nào",southern,
299,Con gấy mần được không?,central,
300,"Tui mà chộ ri là tui xỉu luôn, người khác tới cứu bơ nhổ giúp tui.",central,
301,để mai mốt có đi Cần Thơ tao nói vậy thử,southern,
302,có khi mô lèng mô mà vẹ.,central,
303,Tui ké cấy cảnh ni cấy Nguyễn Thu Hà hệ. Mệt nhừ đén chừ luôn.,central,
304,"ám ảnh luôn chơ, chưa một lần bơ hên rồi bạn hầy.",central,
305,khoe gì lắm bạn nhở? Im im để thêm vài chục anh chứ.,northern,
306,Rồi giừ giấy tờ mần răng đây?,central,
307,Món ruột của tao ! Ở Biên Hòa kiếm khó quá.,southern,
308,Ngon hết sẩy còn bà bảy .,southern,
309,"""Mưa chi ngập rứa hề?""",central,
310,nghe nói 2 đứa thèm bánh mì phải hông,southern,
311,Bựa ni đi xe máy răng nghe ngái quá,central,
312,bựa mô đi chị hè?,central,
313,rứa chọn em mô thì chọn đi.,central,
314,Hủ tiếu chay ở Mỏ Cày là ngon nhứt.,southern,
315,Kìa anh Kiên ơi. Rủ mệ nào đi xem nhá.,northern,
316,Cầm theo lon ốc nghe.,southern,
317,bữa thấy đứng nơi cầu ga làm chi không biết?,central,
318,"mò đường được tao con mày, chỉ tao chục lận cũng vậy à",southern,
319,năm ni ngoài đông hà ló được mùa không?,central,
320,"Bay cứ lấy gần rứa, không đi xe máy thì tau lấy khách mô mà sửa.",central,
321,Em biết uống luôn cả nác suối,central,
322,Gặp tui là người mô tô nấy rồi đó.,central,
323,thứ 4 qua tui đi chơi tránh cúp điện nghe,southern,
324,răng nói con người ta rứa sếp.,central,
325,chạy kiểu ni hèn chi ngày mấy trăm đơn.,central,
326,em còn chưa biết kiếm ăn có hông nữa nè chị,southern,
327,Ở côi tầng 3,central,
328,dã man thiệt chớ. Ngta buôn bán cực khổ!,southern,
329,cho miềng lên tin tức Quảng Trị với hè?,central,
330,Nhọc tê bây nạ! Hãy đi ra khỏi Việt Nam i cấy.,central,
331,Kêu ổng vô đây ổng tuân thủ theo bảng này dùm cái,southern,
332,"không mệ ơi, trong ni không có",central,
333,chú đang diễn lại cấy thế của chú đó hả. Quảng Bình mãi chất hè?,central,
334,"Nhớ còn một cái đồng hồ chà bá trước bưu điện nữa, nhìn rất cổ điển",southern,
335,Chơi cho bui thôi.,central,
336,bả leo cây thấy cưng dễ sợ.,southern,
337,Thái Bảo của lòng mi tê.,central,
338,năm nay đi nữa hông nè.,southern,
339,"Trang mạng tui không thấy đó mới mù tịt đó, Thời sự tui nỏ xem khi mô.",central,
340,"mi thấy đẹp chơ tao thấy bình thường, cô hồng tầm thường.",central,
341,Thèm thiệt á chớ. Nhớ quá chừng.,southern,
342,bạn quẹo trái là sai sai đó nghe!,southern,
343,Ớn ăn chè đậu của bà chị thiệt chớ,southern,
344,"Hồ ni vô danh tiểu tốt em ạ , gưn Betrieb anh làm việc , gưn Rostock",central,
345,bữa ni mà còn người người.,central,
346,2 chỉ vàng giờ mắc lắm á nha.,southern,
347,Chì chi rứa hầy?,central,
348,Để nao đi trải nghiệm trước.,northern,
349,chắc có khúc mắc chi chơ hè?,central,
350,Té ra ri à. Rứa thì càng tệ hại.,central,
351,o coi làm về mắc lụt đó o.,central,
352,rứa là đi miền Tây nhanh lắm bác hè?,central,
353,"Chắc ngoài nớ, chớ em nỏ thấy giọt mô.",central,
354,Dô tế mi nà quần dô chi rứa mệ?,central,
355,"Nơi này ngày trước có bến tầu, kỷ niệm của tuổi thơ tôi.",northern,
356,Giống túi mơ to ở Đà Lạt chị hỉ?,central,
357,"nhiều khi không dám coi mấy tin này luôn, coi mà đứt ruột.",southern,
358,Nghĩ lại thấy liều nhờ. Nhảy trượt phát là xong luôn á.,northern,
359,"sắp sinh nhật em rồi đó nghe, coi làm sao làm.",southern,
360,không chộ tiết mục kiểm tra Bảo hiểm tai nạn dân sự hè?,central,
361,"Ả chơ nỏ phải hắn, em hầy?",central,
362,Cái chỗ ni không tai nạn mới lạ.,central,
363,"làm như nhà bả không bằng, bả rành thấy sợ",southern,
364,Răng không vênh đầu lên cao như khi phóng xe như tên lửa nữa nhỉ?,central,
365,răng gio mai không nớ hè.,central,
366,Mưa ri răng đi chơi trung thu,central,
367,làm mắc khui bia thiệt nghen,southern,
368,rứa Hà Nội về Hà Tịnh hết mấy tiếng rứa bạn hầy?,central,
369,mua mỹ phẩm chi mà đắt hè?,central,
370,Gấy Nghi Lộc xinh rứa!,central,
371,bữa ni đừng chê anh lười nha bạn.,central,
372,Có ưng mần du Nghĩa Đàn không em ơi?,central,
373,ngó bộ ai chơi sau là thiệt đó nên anh em mình nhanh tay,southern,
374,cũng muốn thật mà vướng tập làm người nhớn đi họp phụ huynh.,northern,
375,hông biết khi nào tới mấy chỉ.,southern,
376,"""Nác đến mô rồi?""",central,
377,"Trường bựa ni sơn lại mới hầy, nhưng mà còn nỏ đến lượt ta",central,
378,"Cái chiều qua đi, tao nói mi mà mi không kịp nhin.",central,
379,"Khiếp mần vợ, mần du roi mà không chợ búa chi à.",central,
380,"xe cộ tan nát ri mà người có sao không hè, cầu mong mọi người đều bình an.",central,
381,"Thương o quá, mong o sớm siêu thoát về nơi cực lạc, A dì đà Phật.",central,
382,"Mắc gấp 3 lần , tởn.",southern,
383,"đại gia bất động sản bựa ni dùng tiền lẻ à, răng để rơi rứa?",central,
384,"Chỗ này ngon nhức nách rồi, mối ruột",southern,
385,Hết mùng chơi tới mền luôn bạn,southern,
386,Vậy là rẽ trái phải ôm cái bùng binh nhỏ phía trên hay là cấm rẽ luôn mọi người?,southern,
387,vậy đi mua chắc đem cái thau theo hay lấy bịch nhựa đem dìa,southern,
388,Mới cại chắc với sếp về,central,
389,muốn dìa quê ngay và liền thâu nè nẫu ư,southern,
390,chắc ế quá bả không lấy bia đó nữa nên bả không đổi ha gì á.,southern,
391,Nói câu mất quan điểm rứa ả.,central,
392,"Năm ni bé na, hôm qua dọn cơ quan gặp em bé na ni khiếp i.",central,
393,tui cứ coi lui coi lại mà thấy thương dữ tề.,central,
394,Răng không thấy hè?,central,
395,"giờ muốn cũng có được mô, bạn hè?",central,
396,Răng kinh khủng ri hề?,central,
397,Kì thị mấy con nớ.,central,
398,Dìa chỉ có nhậu và nhậu xong rồi quánh lộn.,southern,
399,Em không đàng hoàng chỗ mô.,central,
400,có trận chiến ở lệ bình nữa chơ hè?,central,
401,"Thêm chén muối ớt, chai rượu chuối hột nữa là hết sảy con ba bẩy",southern,
402,tuần ni mưa lụt kêu tao ra rồi mắc kẹt ngoài nớ luôn hả má?,central,
403,"""Trời ơi tu huýt, thèm rứa tê.""",central,
404,"Vinamilk hoặc thôi thôi Gấu ơi, lâu ni có mua sữa xách tay hay chi nữa mô Gấu.",central,
405,"""Ui chao đoạn mô rứa!""",central,
406,"Sèm lắm rồi, tháng nựa về tau ăn cả tuần, nào ngán thì dừng",central,
407,gái mô mà đẹp rứa bay?,central,
408,gin chết rứa rồi à bạn.,central,
409,"2 chú cho thêm o chút xíu nữa thì tha hồ, mà họ thả nhìn o tội nghiệp.",central,
410,Nhưng tru ăn lúa bị phạt tiền liền,central,
411,lát kiếm hết Đài Loan coi có hông,southern,
412,ai bày vượt kiểu nớ rứa?,central,
413,Bả mà lún xuống đó là không ai ra kéo. Cho bả đóng cứng ở đó luôn,southern,
414,Bọn tiktok cơ ni hấn thiếu chi tiền.,central,
415,"Cái ni được không, để tiêm mi hầy.",central,
416,Rồi con nhà miềng ê hot rần rần nữa chị Phương Dung Hậu Võ hè?,central,
417,"Món này mình ăn rồi, ngon nhức nách luôn",southern,
418,chờ hè về uống bia cho mát chà hại lạnh bạn à?,central,
419,"khi nớ tra rồi, uống chi cụng say.",central,
420,Bở in ri là ngon nì,central,
